Variant;Variant ID;Language;Feature name;Feature group;Position;Image;Description;Page title;Meta keywords;Meta description;URL;Storefront feature name;AB Custom H1;AB SEO Filters: SEO variant
"AV-output";"171";"en";"Ports";"Interfaces";"0";"";"";"";"";"";"";"Ports";"";""
"USB x5";"172";"en";"Ports";"Interfaces";"0";"";"";"";"";"";"";"Ports";"";""
"USB x4";"182";"en";"Ports";"Interfaces";"0";"";"";"";"";"";"";"Ports";"";""
"Wi-Fi (802.11b/g/n)";"148";"en";"Communications";"Interfaces";"0";"";"";"";"";"";"";"Communications";"";""
"Ethernet";"149";"en";"Communications";"Interfaces";"0";"";"";"";"";"";"";"Communications";"";""
"Bluetooth";"187";"en";"Communications";"Interfaces";"0";"";"";"";"";"";"";"Communications";"";""
"Blu-ray";"150";"en";"Supported storage devices";"Multimedia";"0";"";"";"";"";"";"";"Supported storage devices";"";""
"DVD";"151";"en";"Supported storage devices";"Multimedia";"0";"";"";"";"";"";"";"Supported storage devices";"";""
"DVD R";"152";"en";"Supported storage devices";"Multimedia";"0";"";"";"";"";"";"";"Supported storage devices";"";""
"DVD RW";"153";"en";"Supported storage devices";"Multimedia";"0";"";"";"";"";"";"";"Supported storage devices";"";""
"CD";"154";"en";"Supported storage devices";"Multimedia";"0";"";"";"";"";"";"";"Supported storage devices";"";""
"CD R";"167";"en";"Supported storage devices";"Multimedia";"0";"";"";"";"";"";"";"Supported storage devices";"";""
"CR RW";"168";"en";"Supported storage devices";"Multimedia";"0";"";"";"";"";"";"";"Supported storage devices";"";""
"WMA";"155";"en";"Supported formats";"Multimedia";"0";"";"";"";"";"";"";"Supported formats";"";""
"MP3";"169";"en";"Supported formats";"Multimedia";"0";"";"";"";"";"";"";"Supported formats";"";""
"JPEG";"170";"en";"Supported formats";"Multimedia";"0";"";"";"";"";"";"";"Supported formats";"";""
"Headset";"156";"en";"Accessories included";"Multimedia";"0";"";"";"";"";"";"";"Accessories included";"";""
"HDMI cable";"157";"en";"Accessories included";"Multimedia";"0";"";"";"";"";"";"";"Accessories included";"";""
"USB cable";"158";"en";"Accessories included";"Multimedia";"0";"";"";"";"";"";"";"Accessories included";"";""
"composite AV cable";"173";"en";"Accessories included";"Multimedia";"0";"";"";"";"";"";"";"Accessories included";"";""
"BD (Blu-ray Disc)";"159";"en";"Videogames storage";"";"0";"";"";"";"";"";"";"Videogames storage";"";""
"DVD";"175";"en";"Videogames storage";"";"0";"";"";"";"";"";"";"Videogames storage";"";""
"Wii U Optical Disc";"184";"en";"Videogames storage";"";"0";"";"";"";"";"";"";"Videogames storage";"";""
"Xbox One";"160";"en";"Compatibility with console videogames";"Multimedia";"0";"";"";"";"";"";"";"Compatibility with console videogames";"";""
"Xbox";"174";"en";"Compatibility with console videogames";"Multimedia";"0";"";"";"";"";"";"";"Compatibility with console videogames";"";""
"Xbox360";"176";"en";"Compatibility with console videogames";"Multimedia";"0";"";"";"";"";"";"";"Compatibility with console videogames";"";""
"Nintendo WiiNintendo Wii U";"183";"en";"Compatibility with console videogames";"Multimedia";"0";"";"";"";"";"";"";"Compatibility with console videogames";"";""
"PlayStation 4";"188";"en";"Compatibility with console videogames";"Multimedia";"0";"";"";"";"";"";"";"Compatibility with console videogames";"";""
"Black";"161";"en";"Colors";"Additional info";"0";"";"";"";"";"";"";"Colors";"";""
"Small";"1193";"en";"Size";"";"1";"";"";"";"";"";"";"Size";"";""
"Large";"1194";"en";"Size";"";"2";"";"";"";"";"";"";"Size";"";""
"Medium";"1195";"en";"Size";"";"3";"";"";"";"";"";"";"Size";"";""
"XX Large";"1196";"en";"Size";"";"6";"";"";"";"";"";"";"Size";"";""
"X Large";"1197";"en";"Size";"";"5";"";"";"";"";"";"";"Size";"";""
"Green";"1198";"en";"Color - Separate Product";"";"1";"";"";"";"";"";"";"Color";"";""
"Blue";"1199";"en";"Color - Separate Product";"";"2";"";"";"";"";"";"";"Color";"";""
"Black";"1200";"en";"Color - Separate Product";"";"3";"";"";"";"";"";"";"Color";"";""
"White";"1201";"en";"Color - Separate Product";"";"4";"";"";"";"";"";"";"Color";"";""
"Pink";"1202";"en";"Color - Separate Product";"";"0";"";"";"";"";"";"";"Color";"";""
"Khaki";"1203";"en";"Color - Separate Product";"";"0";"";"";"";"";"";"";"Color";"";""
"Red";"1204";"en";"Color - Separate Product";"";"0";"";"";"";"";"";"";"Color";"";""
"Yellow";"1205";"en";"Color - Separate Product";"";"0";"";"";"";"";"";"";"Color";"";""
"Maroon";"1206";"en";"Color - Separate Product";"";"0";"";"";"";"";"";"";"Color";"";""
"Grey";"1207";"en";"Color - Separate Product";"";"0";"";"";"";"";"";"";"Color";"";""
"Beige";"1208";"en";"Color - Separate Product";"";"0";"";"";"";"";"";"";"Color";"";""
"Navy";"1209";"en";"Color - Separate Product";"";"0";"";"";"";"";"";"";"Color";"";""
"Lilac";"1210";"en";"Color - Separate Product";"";"0";"";"";"";"";"";"";"Color";"";""
"Taupe";"1211";"en";"Color - Separate Product";"";"0";"";"";"";"";"";"";"Color";"";""
"Emerald";"1212";"en";"Color - Separate Product";"";"0";"";"";"";"";"";"";"Color";"";""
"Mustard";"1213";"en";"Color - Separate Product";"";"0";"";"";"";"";"";"";"Color";"";""
"Brown";"1214";"en";"Color - Separate Product";"";"0";"";"";"";"";"";"";"Color";"";""
"Cream";"1215";"en";"Color - Separate Product";"";"0";"";"";"";"";"";"";"Color";"";""
"UK 5.5";"1216";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"US 6";"1217";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"UK 6";"1218";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"US 6.5";"1219";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"UK 6.5";"1220";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"UK 7";"1221";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"US 7";"1222";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"UK 7.5";"1223";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"US 7.5";"1224";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"UK 8";"1225";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"US 8";"1226";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"UK 8.5";"1227";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"US 8.5";"1228";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"UK 9";"1229";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"US 9";"1230";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"UK 9.5";"1231";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"US 9.5";"1232";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"UK 10";"1233";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"US 10";"1234";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"UK 10.5";"1235";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"US 10.5";"1236";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"UK 11";"1237";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"UK 11.5";"1238";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"US 11.5";"1239";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"US 12";"1240";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"UK 12.5";"1241";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"US 13";"1242";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"UK 13.5";"1243";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"US 14";"1244";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"UK 14.5";"1245";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"US 15";"1246";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"EU 35";"1247";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"EU 36";"1248";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"EU 37";"1249";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"EU 38";"1250";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"EU 39";"1251";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"EU 40";"1252";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"EU 41";"1253";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"EU 42";"1254";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"EU 43";"1255";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"EU 44";"1256";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"EU 45";"1257";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"EU 46";"1258";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"EU 47";"1259";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"EU 15";"1260";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"EU 16";"1261";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"EU 17";"1262";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"EU 18";"1263";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"EU 19";"1264";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"EU 20";"1265";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"EU 21";"1266";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"EU 22";"1267";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"EU 23";"1268";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"EU 24";"1269";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"EU 25";"1270";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"EU 26";"1271";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"EU 27";"1272";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"EU 28";"1273";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"EU 29";"1274";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"EU 30";"1275";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"EU 31";"1276";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"EU 32";"1277";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"EU 33";"1278";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"EU 34";"1279";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"US 4";"1280";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"US 4.5";"1281";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"US 5";"1282";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"US 5.5";"1283";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"US 16";"1284";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"UK 2";"1285";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"UK 2.5";"1286";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"UK 3";"1287";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"UK 3.5";"1288";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"UK 4";"1289";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"UK 4.5";"1290";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"UK 5";"1291";"en";"Shoes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"S";"1292";"en";"Clothes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"M";"1293";"en";"Clothes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"L";"1294";"en";"Clothes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"XL";"1295";"en";"Clothes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"XXL";"1296";"en";"Clothes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"XXXL";"1297";"en";"Clothes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"XXXXL";"1298";"en";"Clothes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"All size";"1299";"en";"Clothes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"One size";"1300";"en";"Clothes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"XS";"1301";"en";"Clothes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"XXS";"1302";"en";"Clothes Size";"Fashion";"0";"";"";"";"";"";"";"Size";"";""
"White";"1303";"en";"Color - Single Product";"";"0";"";"";"";"";"";"";"Color";"";""
"Black";"1304";"en";"Color - Single Product";"";"0";"";"";"";"";"";"";"Color";"";""
"Dark Grey";"1305";"en";"Color - Single Product";"";"0";"";"";"";"";"";"";"Color";"";""
"Grey";"1306";"en";"Color - Single Product";"";"0";"";"";"";"";"";"";"Color";"";""
"Red";"1307";"en";"Color - Single Product";"";"0";"";"";"";"";"";"";"Color";"";""
"Green";"1308";"en";"Color - Single Product";"";"0";"";"";"";"";"";"";"Color";"";""
"Blue";"1309";"en";"Color - Single Product";"";"0";"";"";"";"";"";"";"Color";"";""
"Yellow";"1310";"en";"Color - Single Product";"";"0";"";"";"";"";"";"";"Color";"";""
"Navy";"1311";"en";"Color - Single Product";"";"0";"";"";"";"";"";"";"Color";"";""
"Emerald";"1312";"en";"Color - Single Product";"";"0";"";"";"";"";"";"";"Color";"";""
"Lilac";"1313";"en";"Color - Single Product";"";"0";"";"";"";"";"";"";"Color";"";""
"Pink";"1314";"en";"Color - Single Product";"";"0";"";"";"";"";"";"";"Color";"";""
"Fuchsia";"1315";"en";"Color - Single Product";"";"0";"";"";"";"";"";"";"Color";"";""
"Gold";"1316";"en";"Color - Single Product";"";"0";"";"";"";"";"";"";"Color";"";""
"Ivory";"1317";"en";"Color - Single Product";"";"0";"";"";"";"";"";"";"Color";"";""
"Khaki";"1318";"en";"Color - Single Product";"";"0";"";"";"";"";"";"";"Color";"";""
"Lavender";"1319";"en";"Color - Single Product";"";"0";"";"";"";"";"";"";"Color";"";""
"Magenta";"1320";"en";"Color - Single Product";"";"0";"";"";"";"";"";"";"Color";"";""
"Linen";"1321";"en";"Color - Single Product";"";"0";"";"";"";"";"";"";"Color";"";""
"Maroon";"1322";"en";"Color - Single Product";"";"0";"";"";"";"";"";"";"Color";"";""
"Olive";"1323";"en";"Color - Single Product";"";"0";"";"";"";"";"";"";"Color";"";""
"Orange";"1324";"en";"Color - Single Product";"";"0";"";"";"";"";"";"";"Color";"";""
"Orchid";"1325";"en";"Color - Single Product";"";"0";"";"";"";"";"";"";"Color";"";""
"Plum";"1326";"en";"Color - Single Product";"";"0";"";"";"";"";"";"";"Color";"";""
"Purple";"1327";"en";"Color - Single Product";"";"0";"";"";"";"";"";"";"Color";"";""
"Salmon";"1328";"en";"Color - Single Product";"";"0";"";"";"";"";"";"";"Color";"";""
"Silver";"1329";"en";"Color - Single Product";"";"0";"";"";"";"";"";"";"Color";"";""
"SkyBlue";"1330";"en";"Color - Single Product";"";"0";"";"";"";"";"";"";"Color";"";""
"Tan";"1331";"en";"Color - Single Product";"";"0";"";"";"";"";"";"";"Color";"";""
"Teal";"1332";"en";"Color - Single Product";"";"0";"";"";"";"";"";"";"Color";"";""
