Product code,Language,Product id,Category,List price,Price,Weight,Quantity,Min quantity,Shipping freight,Ship downloadable,Inventory tracking,Product name,Description,Meta keywords,Meta description,Search words,Page title,Taxes,Features,Options,Secondary categories,Pay by points,Override points,Override exchange rate,SEO name,Short description,Status,Popularity,Vendor,Image URL,Images
Y0172YCAWT,en,10,Electronics & Technology,334,299.99,0,10,,0,N,,Compact Full HD Camcorder,"<p>            The T10 camcorder was designed to capture memories in comfort and in style. It boasts an ultra compact size, alightweight body and a brushed metal finish creating a subtle but sophisticated look and feel. In fact, its smooth curves fit so comfortably in your hand, it makes shooting video for longer periods of time more enjoyable</p>",,,,,,,,,N,N,N,compact-full-hd-camcorder,,A,402,demo store,https://is2or.store/images/thumbnails/570/570/detailed/8/V31582_01.jpg,https://is2or.store/images/detailed/8/V31582_01.jpg
D0187LXFZO,en,11,Electronics & Technology,310,299.99,0,11,,0,N,,"2010 TOUR STAFF Bag 10""",<p>Used by Cleveland Golf tour staff players worldwide</p>,,,,,,Brand: E[Carhartt ]; Condition: S[Brand new],,,N,N,N,2010-tour-staff-bag-10,<p>Hydration Capacity: 70 oz (2 L)</p><p>Total Capacity: 1000 cu in (16.39 L)</p><p></p>,A,408,demo store,https://is2or.store/images/thumbnails/570/570/detailed/8/167734bda696f56942c278bee07e7236.jpg,https://is2or.store/images/detailed/8/167734bda696f56942c278bee07e7236.jpg///https://is2or.store/images/detailed/8/G48874_01_vezj-00.jpg
O019015C2L,en,12,Electronics & Technology,0,899.95,0,8,,0,N,,AF-S DX NIKKOR 10-24mm f/3.5-4.5G ED,"<p>This ultra wide-angle lens, designed exclusively for use with Nikon’s DX-format, provides a versatile wide-angle zoom perspective.</p>",,,,,,,,,N,N,N,af-s-dx-nikkor-10-24mm-f-3-5-4-5g-ed,,A,321,demo store,https://is2or.store/images/thumbnails/570/570/detailed/8/2181_1.jpg,https://is2or.store/images/detailed/8/2181_1.jpg
K02149B2ZX,en,13,Electronics & Technology,0,972,0,11,,0,N,,ASUS CP6130,"<p>A glossy surface givess the CP6130 an air of elegance, while and an eye-catching power button inspired from the halo of a lunar eclipse seamlessly blends in to the front of the case.</p>",,,,,,,,,N,N,N,asus-cp6130,,A,375,demo store,https://is2or.store/images/thumbnails/570/570/detailed/8/P_50013287768924f3386bc5fe80.jpg,https://is2or.store/images/detailed/8/P_50013287768924f3386bc5fe80.jpg///https://is2or.store/images/detailed/8/G48874_01_vezj-00.jpg
K02149B2ZX,en,13,Electronics & Technology,0,972,0,11,,0,N,,ASUS CP6130,"<p>A glossy surface givess the CP6130 an air of elegance, while and an eye-catching power button inspired from the halo of a lunar eclipse seamlessly blends in to the front of the case.</p>",,,,,,,,,N,N,N,asus-cp6130,,A,375,demo store,https://is2or.store/images/thumbnails/570/570/detailed/8/P_50013287768924f3386bc5fe80.jpg,https://is2or.store/images/detailed/8/P_50013287768924f3386bc5fe80.jpg///https://is2or.store/images/detailed/8/G48874_01_vezj-00.jpg
H0217E3OE9,en,14,Electronics & Technology,0,610.99,0,9,,0,N,,ASUS CP6230,<p>The ASUS CP6230 features a space-saving design with a hexagonal pattern lid that easily fits anywhere in your home. It draws you in with its elegant aesthetics but holds your attention with its computer power to tackle any task.</p>,,,,,,,,,N,N,N,asus-cp6230,,A,276,demo store,https://is2or.store/images/thumbnails/570/570/detailed/8/P_50013287772614f33882d85395.jpg,https://is2or.store/images/detailed/8/P_50013287772614f33882d85395.jpg
H0217E3OE9,en,14,Electronics & Technology,0,610.99,0,9,,0,N,,ASUS CP6230,<p>The ASUS CP6230 features a space-saving design with a hexagonal pattern lid that easily fits anywhere in your home. It draws you in with its elegant aesthetics but holds your attention with its computer power to tackle any task.</p>,,,,,,,,,N,N,N,asus-cp6230,,A,276,demo store,https://is2or.store/images/thumbnails/570/570/detailed/8/P_50013287772614f33882d85395.jpg,https://is2or.store/images/detailed/8/P_50013287772614f33882d85395.jpg
B0218UO9WS,en,15,Electronics & Technology,0,459.99,0,10,,0,N,,ASUS Essentio CP1130,"<p>The ASUS new Essentio CP1130 has sleek appearance and small size make it perfectly fit anywhere in your home. At the same time, it provides complete function and delivers ultimate performance for daily computing.</p>",,,,,,,,,N,N,N,asus-essentio-cp1130,,A,291,demo store,https://is2or.store/images/thumbnails/570/570/detailed/8/P_50013287774434f3388e3b9edd.jpg,https://is2or.store/images/detailed/8/P_50013287774434f3388e3b9edd.jpg///https://is2or.store/images/detailed/8/G48874_01_vezj-00.jpg
B0218UO9WS,en,15,Electronics & Technology,0,459.99,0,10,,0,N,,ASUS Essentio CP1130,"<p>The ASUS new Essentio CP1130 has sleek appearance and small size make it perfectly fit anywhere in your home. At the same time, it provides complete function and delivers ultimate performance for daily computing.</p>",,,,,,,,,N,N,N,asus-essentio-cp1130,,A,291,demo store,https://is2or.store/images/thumbnails/570/570/detailed/8/P_50013287774434f3388e3b9edd.jpg,https://is2or.store/images/detailed/8/P_50013287774434f3388e3b9edd.jpg///https://is2or.store/images/detailed/8/G48874_01_vezj-00.jpg
B0218UO9WS,en,15,Electronics & Technology,0,459.99,0,10,,0,N,,ASUS Essentio CP1130,"<p>The ASUS new Essentio CP1130 has sleek appearance and small size make it perfectly fit anywhere in your home. At the same time, it provides complete function and delivers ultimate performance for daily computing.</p>",,,,,,,,,N,N,N,asus-essentio-cp1130,,A,291,demo store,https://is2or.store/images/thumbnails/570/570/detailed/8/P_50013287774434f3388e3b9edd.jpg,https://is2or.store/images/detailed/8/P_50013287774434f3388e3b9edd.jpg///https://is2or.store/images/detailed/8/G48874_01_vezj-00.jpg
B0230S7Q0V,en,16,Electronics & Technology,0,125,0,11,,0,N,,2011 Pit Boss,"<p>Hydration Capacity: 100 oz (3 L)<br><br>Total Capacity: 1800 cu in (29.50 L)<br><br>CamelBak® Got Your Bak&trade; Guarantee: If we built it, we'll Bak it&trade; with our lifetime guarantee. <br><br>Reservoir Features: Quick Link&trade; System, 1/4 turn - easy open/close cap, lightweight fillport, dryer arms, center baffling and low-profile design, patented Big Bite&trade; Valve, HydroGuard&trade; technology, insulated PureFlow&trade; tube, easy-to-clean wide-mouth opening<br><br>BACK PANEL: Air Director&trade; Snowshed&trade;<br><br>HARNESS: Therminator&trade; provides easy access for frequent sipping, insulated and fully enclosed to protect against freezing<br><br>BELT: Load-bearing with cargo<br><br>Additional Features: <br>Versatile Snowboard / Ski Carry (Diagonal, Vertical or Horizontal), tri-zip quick gear access, gear compression, goggle pocket, essentials pocket<br>Drop-out Probe Pocket for instant probe access -- locate survivors without unloading your pack<br><br>Designed to carry: skis/snowboard, shovel, probe, skins, snowshoes, helmet, goggles, extra layers, lunch, tools, camera, phone, wallet, keys</p>",,,,,,Condition: S[Used],,,N,N,N,2011-pit-boss,,A,318,demo store,https://is2or.store/images/thumbnails/570/570/detailed/8/url_uploaded_file_13287871234f33aeb3d0793.jpg,https://is2or.store/images/detailed/8/url_uploaded_file_13287871234f33aeb3d0793.jpg
B0230S7Q0V,en,16,Electronics & Technology,0,125,0,11,,0,N,,2011 Pit Boss,"<p>Hydration Capacity: 100 oz (3 L)<br><br>Total Capacity: 1800 cu in (29.50 L)<br><br>CamelBak® Got Your Bak&trade; Guarantee: If we built it, we'll Bak it&trade; with our lifetime guarantee. <br><br>Reservoir Features: Quick Link&trade; System, 1/4 turn - easy open/close cap, lightweight fillport, dryer arms, center baffling and low-profile design, patented Big Bite&trade; Valve, HydroGuard&trade; technology, insulated PureFlow&trade; tube, easy-to-clean wide-mouth opening<br><br>BACK PANEL: Air Director&trade; Snowshed&trade;<br><br>HARNESS: Therminator&trade; provides easy access for frequent sipping, insulated and fully enclosed to protect against freezing<br><br>BELT: Load-bearing with cargo<br><br>Additional Features: <br>Versatile Snowboard / Ski Carry (Diagonal, Vertical or Horizontal), tri-zip quick gear access, gear compression, goggle pocket, essentials pocket<br>Drop-out Probe Pocket for instant probe access -- locate survivors without unloading your pack<br><br>Designed to carry: skis/snowboard, shovel, probe, skins, snowshoes, helmet, goggles, extra layers, lunch, tools, camera, phone, wallet, keys</p>",,,,,,Condition: S[Used],,,N,N,N,2011-pit-boss,,A,318,demo store,https://is2or.store/images/thumbnails/570/570/detailed/8/url_uploaded_file_13287871234f33aeb3d0793.jpg,https://is2or.store/images/detailed/8/url_uploaded_file_13287871234f33aeb3d0793.jpg
B0230S7Q0V,en,16,Electronics & Technology,0,125,0,11,,0,N,,2011 Pit Boss,"<p>Hydration Capacity: 100 oz (3 L)<br><br>Total Capacity: 1800 cu in (29.50 L)<br><br>CamelBak® Got Your Bak&trade; Guarantee: If we built it, we'll Bak it&trade; with our lifetime guarantee. <br><br>Reservoir Features: Quick Link&trade; System, 1/4 turn - easy open/close cap, lightweight fillport, dryer arms, center baffling and low-profile design, patented Big Bite&trade; Valve, HydroGuard&trade; technology, insulated PureFlow&trade; tube, easy-to-clean wide-mouth opening<br><br>BACK PANEL: Air Director&trade; Snowshed&trade;<br><br>HARNESS: Therminator&trade; provides easy access for frequent sipping, insulated and fully enclosed to protect against freezing<br><br>BELT: Load-bearing with cargo<br><br>Additional Features: <br>Versatile Snowboard / Ski Carry (Diagonal, Vertical or Horizontal), tri-zip quick gear access, gear compression, goggle pocket, essentials pocket<br>Drop-out Probe Pocket for instant probe access -- locate survivors without unloading your pack<br><br>Designed to carry: skis/snowboard, shovel, probe, skins, snowshoes, helmet, goggles, extra layers, lunch, tools, camera, phone, wallet, keys</p>",,,,,,Condition: S[Used],,,N,N,N,2011-pit-boss,,A,318,demo store,https://is2or.store/images/thumbnails/570/570/detailed/8/url_uploaded_file_13287871234f33aeb3d0793.jpg,https://is2or.store/images/detailed/8/url_uploaded_file_13287871234f33aeb3d0793.jpg
S0231YYSMK,en,17,Electronics & Technology,0,99,0,10,,0,N,,2011 Tycoon,"<p>Hydration Capacity: 100 oz (3 L)<br /><br />Total Capacity: 1125 cu in (18.44 L)<br /><br />CamelBak® Got Your Bak™ Guarantee: If we built it, we'll Bak it™ with our lifetime guarantee. <br /><br />Reservoir Features: Quick Link™ System, 1/4 turn - easy open/close cap, lightweight fillport, dryer arms, center baffling and low-profile design, patented Big Bite™ Valve, HydroGuard™ technology, insulated PureFlow™ tube, easy-to-clean wide-mouth opening<br /><br />BACK PANEL: Snowshed™<br /><br />HARNESS: Therminator™ provides easy access for frequent sipping, insulated and fully enclosed to protect against freezing<br /><br />BELT: Load-bearing<br /><br />Additional Features: <br />Snowboard / Ski Carry (Diagonal, Vertical or Horizontal), pack compression, goggle pocket, essentials pocket<br />Drop-out Probe Pocket for instant probe access -- locate survivors without unloading your pack<br /><br />Designed to carry: skis/snowboard, shovel, probe, skins or snowshoes, goggles, extra layer, snack, phone, wallet, keys</p>",,,,,,,,,N,N,N,2011-tycoon,,A,309,demo store,https://is2or.store/images/thumbnails/570/570/detailed/8/url_uploaded_file_13287872334f33af2276de4.jpg,https://is2or.store/images/detailed/8/url_uploaded_file_13287872334f33af2276de4.jpg
S0232MRZ1Y,en,18,Electronics & Technology,0,79.95,0,10,,0,N,,2011 Ice Queen,"<p>Hydration Capacity: 70 oz (2 L)<br><br>Total Capacity: 1000 cu in (16.39 L)<br><br>CamelBak®Got Your Bak&trade; Guarantee: If we built it, we'll Bak it&trade; with our lifetime guarantee. <br><br>Reservoir Features: 1/4 turn - easy open/close cap, lightweight fillport, dryer arms, center baffling and low-profile design, patented Big Bite&trade; Valve, HydroGuard&trade; technology, insulated PureFlow&trade; tube, easy-to-clean wide-mouth opening<br><br>BACK PANEL: Snowshed&trade;<br><br>HARNESS: S-Curved Women's Harness; Therminator&trade; provides easy access for frequent sipping, insulated and fully enclosed to protect against freezing<br><br>BELT: Removable 1"" (25 mm) stability<br><br>Additional Features: <br>Tri-Zip design allows easy access to all your gear, compresion, goggle pocket, essentials pocket<br><br>Designed to carry: Helmet, goggles, extra layers, lunch, phone, wallet, keys</p>",,,,,,Condition: S[Like new],,,N,N,N,2011-ice-queen,,A,333,demo store,https://is2or.store/images/thumbnails/570/570/detailed/8/url_uploaded_file_13287873494f33af96095d8.jpg,https://is2or.store/images/detailed/8/url_uploaded_file_13287873494f33af96095d8.jpg
E0240Y27BE,en,19,Electronics & Technology,0,499,0,12,,0,N,,Apple® - iPad® with Retina® display Wi-Fi - 64GB - Black,"<p>iPad features a stunning Retina display, iSight® and FaceTime cameras, the all new A6X chip and ultrafast wireless. And with access to over 275,000 apps1 on the App Store, you can do more than ever.</p>",,,,,,,,,N,N,N,apple-ipad-with-retina-display-wi-fi-64gb-black,,A,228,demo store,https://is2or.store/images/thumbnails/570/570/detailed/8/ipad-black-1.jpg,https://is2or.store/images/detailed/8/ipad-black-1.jpg
I0241GCXF9,en,20,Electronics & Technology,0,499,0,11,,0,N,,Apple® - iPad® with Retina® display Wi-Fi - 32GB - White,"<p>  iPad features a stunning Retina display, iSight® and FaceTime cameras, the all new A6X chip and ultrafast wireless. And with access to over 275,000 apps1 on the App Store, you can do more than ever.</p>",,,,,,,,,N,N,N,apple-ipad-with-retina-display-wi-fi-32gb-white,,A,294,demo store,https://is2or.store/images/thumbnails/570/570/detailed/8/ipad-white-1.jpg,https://is2or.store/images/detailed/8/ipad-white-1.jpg
H0015EXYM6,en,21,Electronics & Technology,0,150,0,22,,0,N,,Nike Chambray Super,"<div class=""text description black-white""><div class=""product-description-component""><p><strong>The Nike Chambray Super Runner Jacket: A durable, updated classic </strong></p><p><br></p><p>The  timeless Windrunner design gets a premium upgrade in the Nike Chambray  Super Runner Men's Jacket. Created with tough, water-resistant fabric  and a mesh lining, this jacket combines breathability and protection  from the elements.</p><p><br></p><p><strong>Benefits</strong></p>Hood with drawcord for an adjustable fitOverlay at yoke and raglan sleeves for style and enhanced protectionRib cuffs and hem for a fit that stays in placeMesh lining for enhanced ventilationDurable, wind-resistant fabric to protect against the elements<p><br></p><p><strong>Additional Details</strong></p>Side zip pockets for secure storageFabric: Body: 100% cotton. Lining and overlay: 100% polyester.Machine washImported</div></div>",,,,,,Condition: S[Like new],,,N,N,N,product-21,,A,183,demo store,https://is2or.store/images/thumbnails/570/570/detailed/8/452499_010_A.jpg,https://is2or.store/images/detailed/8/452499_010_A.jpg
GLUOG,en,22,AB: Phones,0,1176.92,0,100,,0,N,,AB: Google Pixel 6 Pro 12/128GB Stormy Black,"<p>Google announced the first generation Pixel smartphones, the Pixel and the Pixel XL, on October 4, 2016 during the #MadeByGoogle event. Google emphasized the camera on the two phones, which ranked as the best smartphone camera on DxOMarkMobile with 90 points until HTC released the U11, which also scored 90 points. This is largely due to software optimizations such as HDR+. The Pixel phones also include unlimited cloud storage for pictures on Google Photos and, for devices purchased directly from Google, an unlockable bootloader. In 2019, a class action lawsuit over faulty microphones in some devices enabled Pixel owners to claim up to $500 in compensation.</p>",,,,,,Operating System: S[Android]; Processor: S[Google Tensor]; RAM: S[12]; Battery capacity: S[5003]; Number of cores: S[8]; Screen diagonal: S[6.7],,,Y,N,N,ab-google-pixel-6-pro-12-128gb-stormy-black,"<p>Google Pixel is a brand of consumer electronic devices developed by Google that run either Chrome OS or the Android operating system. The Pixel brand was introduced in February 2013 with the first-generation Chromebook Pixel. The Pixel line includes laptops, tablets, and smartphones, as well as several accessories.</p>",H,,demo store,https://is2or.store/images/thumbnails/570/570/detailed/8/product-image-1_1.jpg,https://is2or.store/images/detailed/8/product-image-1_1.jpg///https://is2or.store/images/detailed/8/product-image-1_2.jpg///https://is2or.store/images/detailed/8/product-image-1_3.jpg///https://is2or.store/images/detailed/8/product-image-1_4.jpg///https://is2or.store/images/detailed/8/product-image-1_5.jpg
MLXW3UA/A,en,23,AB: Laptops,0,1489,0,100,,0,N,,"AB: Apple MacBook Air 13.6"" M2 256GB 2022 (MLXW3UA/A) Space Gray","<p>The <strong>MacBook Air</strong> is a line of ultrabook computers developed and manufactured by Apple Inc. It consists of a full-size keyboard, a machined aluminum case, and, in the more modern versions, a thin light structure. The Air was originally positioned above the previous MacBook line as a premium ultraportable. Since then, the original MacBook's discontinuation in 2011, and lowered prices on subsequent iterations, have made the Air Apple's entry-level notebook. In the current product line, the MacBook Air is situated below the performance range MacBook Pro.</p>",,,,,,Operating System: S[macOS]; Processor: S[Apple M2]; Number of cores: S[8]; Screen diagonal: S[13.6]; RAM: S[8]; SSD: S[256],,,Y,N,N,ab-apple-macbook-air-13-6-m2-256gb-2022-mlxw3ua-a-space-gray,"<p>The <strong>MacBook Air</strong> is a line of ultrabook computers developed and manufactured by Apple Inc. It consists of a full-size keyboard, a machined aluminum case, and, in the more modern versions, a thin light structure.</p>",A,174,demo store,https://is2or.store/images/thumbnails/570/570/detailed/8/product-image-2_1.jpg,https://is2or.store/images/detailed/8/product-image-2_1.jpg///https://is2or.store/images/detailed/8/product-image-2_2.jpg///https://is2or.store/images/detailed/8/product-image-2_3.jpg///https://is2or.store/images/detailed/8/product-image-2_4.jpg///https://is2or.store/images/detailed/8/product-image-2_5.jpg
XPS9710-7265SLV-PUS,en,24,AB: Laptops,0,3513.5,0,100,,0,N,,AB: Dell XPS 17 9710 (XPS9710-7265SLV-PUS) Platinum Silver,"<p>The XPS name dates back to 1990 when Dell was more focused on corporate business than consumers. Gateway (then known as Gateway 2000 at the time) was the number one in the high-end consumer market. In early 1993, there was a staff meeting to address how to pursue this emerging market. At this time, Dell's annual revenue was less than $500 million and Michael Dell was involved in most decisions. At this meeting, it was decided to launch a new high-end product line to compete with Gateway. Vernon Weiss was assigned as product manager to spearhead and manage the marketing of the new product. He worked with Brian Zucker who led the architecture and engineering effort. In September 1993, the first two versions of the XPS line were announced, initially as part of the Dell Dimension series. The first generation of the XPS system was available as either a desktop or a tower case. This new product line was so far ahead of the competition that it was featured on the cover of the October 1993 issue of PC/Computing.</p>",,,,,,Operating System: S[Windows 11]; Processor: S[Intel Core i7]; Number of cores: S[8]; Screen diagonal: S[17]; RAM: S[32]; SSD: S[512],,,Y,N,N,ab-dell-xps-17-9710-xps9710-7265slv-pus-platinum-silver,"<p><strong>Dell XPS</strong> (""eXtreme Performance System"") is a line of consumer-oriented high-end laptop and desktop computers manufactured by Dell. The XPS mainly competes against computers such as Acer's Aspire, HP's Pavilion and Envy, Lenovo's X1, Samsung's Sens, and Apple MacBook Pro.</p>",H,,demo store,https://is2or.store/images/thumbnails/570/570/detailed/8/product-image-3_1.jpg,https://is2or.store/images/detailed/8/product-image-3_1.jpg///https://is2or.store/images/detailed/8/product-image-3_2.jpg///https://is2or.store/images/detailed/8/product-image-3_3.jpg///https://is2or.store/images/detailed/8/product-image-3_4.jpg///https://is2or.store/images/detailed/8/product-image-3_5.jpg
