CategoryCode;CategoryPath;Language
"";"الإلكترونيات والمنتجات الرقمية///الإلكترونيات///الأجهزة القابلة للارتداء";"ar"
"431";"Electronics & Digital Products///Electronics///Television";"en"
"";"الإلكترونيات والمنتجات الرقمية///الإلكترونيات///التلفزيون";"ar"
"433";"Electronics & Digital Products///Electronics///E-scooter";"en"
"";"الإلكترونيات والمنتجات الرقمية///الإلكترونيات///السكوتر الكهربائي";"ar"
"434";"Electronics & Digital Products///Gaming///X-box";"en"
"";"الإلكترونيات والمنتجات الرقمية///ألعاب إلكترونية///إكس بوكس";"ar"
"435";"Electronics & Digital Products///Gaming///Playstation";"en"
"";"الإلكترونيات والمنتجات الرقمية///ألعاب إلكترونية///بلايستيشن";"ar"
"436";"Electronics & Digital Products///Gaming///Nintendo";"en"
"";"الإلكترونيات والمنتجات الرقمية///ألعاب إلكترونية///نينتندو";"ar"
"437";"Electronics & Digital Products///Gaming///PC gaming";"en"
"";"الإلكترونيات والمنتجات الرقمية///ألعاب إلكترونية///ألعاب الكمبيوتر";"ar"
"438";"Electronics & Digital Products///Gaming///Accessories";"en"
"";"الإلكترونيات والمنتجات الرقمية///ألعاب إلكترونية///الإكسسوارات";"ar"
"443";"Fashion & Jewelry///Man///Clothes";"en"
"";"الأزياء والمجوهرات///الرجل///الملابس";"ar"
"444";"Fashion & Jewelry///Man///Shoes";"en"
"";"الأزياء والمجوهرات///الرجل///الأحذية";"ar"
"445";"Fashion & Jewelry///Man///Accessories";"en"
"";"الأزياء والمجوهرات///الرجل///الإكسسوارات";"ar"
"446";"Fashion & Jewelry///Woman///Clothes";"en"
"";"الأزياء والمجوهرات///المرأة///الملابس";"ar"
"447";"Fashion & Jewelry///Woman///Hand Bag";"en"
"";"الأزياء والمجوهرات///المرأة///حقائب اليد";"ar"
"448";"Fashion & Jewelry///Woman///Shoes";"en"
"";"الأزياء والمجوهرات///المرأة///الأحذية";"ar"
"449";"Fashion & Jewelry///Woman///Wedding";"en"
"";"الأزياء والمجوهرات///المرأة///الزفاف";"ar"
"450";"Fashion & Jewelry///Woman///Traditional Costume";"en"
"";"الأزياء والمجوهرات///المرأة///الأزياء التقليدية";"ar"
"451";"Fashion & Jewelry///Woman///Accessories";"en"
"";"الأزياء والمجوهرات///المرأة///الإكسسوارات";"ar"
"452";"Fashion & Jewelry///Kids///Clothes";"en"
"";"الأزياء والمجوهرات///الأطفال///الملابس";"ar"
"453";"Fashion & Jewelry///Kids///Shoes";"en"
"";"الأزياء والمجوهرات///الأطفال///الأحذية";"ar"
"454";"Fashion & Jewelry///Jewllery///Diamond";"en"
"";"الأزياء والمجوهرات///المجوهرات///الماس";"ar"
"455";"Fashion & Jewelry///Jewllery///Gold";"en"
"";"الأزياء والمجوهرات///المجوهرات///الذهب";"ar"
"456";"Fashion & Jewelry///Jewllery///Silver";"en"
"";"الأزياء والمجوهرات///المجوهرات///الفضة";"ar"
"457";"Fashion & Jewelry///Jewllery///Accessories";"en"
"";"الأزياء والمجوهرات///المجوهرات///الإكسسوارات";"ar"
"460";"Sports & Hobbies///Sports///Camping";"en"
"";"الأزياء الرياضية///الرياضة///التخييم";"ar"
"461";"Sports & Hobbies///Sports///Beach & Pool";"en"
"";"الأزياء الرياضية///الرياضة///الشاطئ والمسبح";"ar"
"462";"Sports & Hobbies///Sports///Sports";"en"
"";"الأزياء الرياضية///الرياضة///الرياضة";"ar"
"463";"Sports & Hobbies///Sports///Pets";"en"
"";"الأزياء الرياضية///الرياضة///الحيوانات الأليفة";"ar"
"464";"Sports & Hobbies///Sports///Gym Equipment";"en"
"";"الأزياء الرياضية///الرياضة///معدات الجيم";"ar"
"465";"Sports & Hobbies///Sports///Biking & E-Bikes";"en"
"";"الأزياء الرياضية///الرياضة///الدراجات والدراجات الكهربائية";"ar"
"466";"Sports & Hobbies///Sports///Athletic Fashion";"en"
"";"الأزياء الرياضية///الرياضة///الأزياء الرياضية";"ar"
"467";"Sports & Hobbies///Sports///DIY";"en"
"";"الأزياء الرياضية///الرياضة///الأعمال اليدوية";"ar"
"468";"Sports & Hobbies///Sports///Fishing";"en"
"";"الأزياء الرياضية///الرياضة///صيد السمك";"ar"
"469";"Sports & Hobbies///Sports///Free Time";"en"
"";"الأزياء الرياضية///الرياضة///وقت الفراغ";"ar"
"470";"Sports & Hobbies///Toys///Plushies";"en"
"";"الأزياء الرياضية///الألعاب///القطيفة";"ar"
"471";"Sports & Hobbies///Toys///Learning Sets";"en"
"";"الأزياء الرياضية///الألعاب///مجموعات التعلم";"ar"
"472";"Sports & Hobbies///Toys///Remote Control Toys";"en"
"";"الأزياء الرياضية///الألعاب///ألعاب التحكم عن بعد";"ar"
"476";"Heath & Beauty///Health///Food Supplements";"en"
"";"الصحة والجمال///الصحة///المكملات الغذائية";"ar"
"477";"Heath & Beauty///Health///Diet meals";"en"
"";"الصحة والجمال///الصحة///وجبات الحمية الغذائية";"ar"
"478";"Heath & Beauty///Beauty///Fragrance";"en"
"";"الصحة والجمال///الجمال///العطر";"ar"
"479";"Heath & Beauty///Beauty///Pharmaceuticals";"en"
"";"الصحة والجمال///الجمال///المستحضرات الصيدلانية";"ar"
"480";"Heath & Beauty///Beauty///Hair Care";"en"
"";"الصحة والجمال///الجمال///العناية بالشعر";"ar"
"481";"Heath & Beauty///Beauty///Personal Grooming";"en"
"";"الصحة والجمال///الجمال///العناية الشخصية";"ar"
"482";"Heath & Beauty///Beauty///Make up";"en"
"";"الصحة والجمال///الجمال///المكياج";"ar"
"483";"Heath & Beauty///Beauty///Medical Supplies";"en"
"";"الصحة والجمال///الجمال///اللوازم الطبية";"ar"
"487";"Home & Gardening///Home///Tools";"en"
"";"المنزل والحدائق///المنزل///الأدوات";"ar"
"488";"Home & Gardening///Home///Furnitures";"en"
"";"المنزل والحدائق///المنزل///المفروشات";"ar"
"489";"Home & Gardening///Home///Lighting";"en"
"";"المنزل والحدائق///المنزل///الإضاءة";"ar"
"490";"Home & Gardening///Home///Cleaning Products";"en"
"";"المنزل والحدائق///المنزل///منتجات التنظيف";"ar"
"491";"Home & Gardening///Home///Kitchen Items";"en"
"";"المنزل والحدائق///المنزل///أدوات المطبخ";"ar"
"492";"Home & Gardening///Home///Linen Items";"en"
"";"المنزل والحدائق///المنزل///عناصر الكتان";"ar"
"493";"Home & Gardening///Home///Security";"en"
"";"المنزل والحدائق///المنزل///الأمن";"ar"
"494";"Home & Gardening///Home///Bathroom Equipment";"en"
"";"المنزل والحدائق///المنزل///معدات الحمامات";"ar"
"495";"Home & Gardening///Home///Office Equipment";"en"
"";"المنزل والحدائق///المنزل///معدات مكتبية";"ar"
"496";"Home & Gardening///Home///Automations";"en"
"";"المنزل والحدائق///المنزل///الأتمتة";"ar"
"497";"Home & Gardening///Gardenin///Plants & Seeds";"en"
"";"المنزل والحدائق///الحدائق///النباتات والبذور";"ar"
"498";"Home & Gardening///Gardenin///Tools";"en"
"";"المنزل والحدائق///الحدائق///الأدوات";"ar"
"499";"Home & Gardening///Home///Lawn Care";"en"
"";"المنزل والحدائق///المنزل///العناية بالحديقة";"ar"
"500";"Home & Gardening///Gardenin///Furnitures";"en"
"";"المنزل والحدائق///الحدائق///الأثاث";"ar"
"501";"Home & Gardening///Gardenin///Lighting";"en"
"";"المنزل والحدائق///الحدائق///الإضاءة";"ar"
"502";"Home & Gardening///Gardenin///Bathroom Equipment";"en"
"";"المنزل والحدائق///الحدائق///تجهيزات الحمام";"ar"
"503";"Home & Gardening///Gardenin///Office Equipment";"en"
"";"المنزل والحدائق///الحدائق///معدات مكتبية";"ar"
"507";"Fresh & Local///Homemade Meals///Main Dish";"en"
"";"منتجات طازجة ومحلية///وجبات منزلية///الطبق الرئيسي";"ar"
"508";"Fresh & Local///Homemade Meals///Classic Sweets";"en"
"";"منتجات طازجة ومحلية///وجبات منزلية///الحلويات التقليدية";"ar"
"509";"Fresh & Local///Fruits from farms///Dates";"en"
"";"منتجات طازجة ومحلية///فواكه من المزارع///التمور";"ar"
"510";"Fresh & Local///Fruits from farms///Honey";"en"
"";"منتجات طازجة ومحلية///فواكه من المزارع///العسل";"ar"
"511";"Fresh & Local///Fruits from farms///Ghee";"en"
"";"منتجات طازجة ومحلية///فواكه من المزارع///السمن";"ar"
"512";"Fresh & Local///Nuts & Spices///Mixed Nuts";"en"
"";"منتجات طازجة ومحلية///المكسرات والتوابل///مكسرات مشكلة";"ar"
"513";"Fresh & Local///Nuts & Spices///Spices";"en"
"";"منتجات طازجة ومحلية///المكسرات والتوابل///التوابل";"ar"
"516";"Supermarket///Wholesale & Bulk///Dairy";"en"
"";"سوبر ماركت///بيع بالجملة///منتجات الألبان";"ar"
"517";"Supermarket///Wholesale & Bulk///Beverages";"en"
"";"سوبر ماركت///بيع بالجملة///المشروبات";"ar"
"518";"Supermarket///Wholesale & Bulk///Cleaning Products";"en"
"";"سوبر ماركت///بيع بالجملة///منتجات التنظيف";"ar"
"519";"Supermarket///Retail///Fruits & Vegetables";"en"
"";"سوبر ماركت///المخبوزات///الفواكه والخضروات";"ar"
"520";"Supermarket///Retail///Cheese & Cold Cuts";"en"
"";"سوبر ماركت///المخبوزات///الجبن والقطع الباردة";"ar"
"521";"Supermarket///Retail///Breakfast & Snacks";"en"
"";"سوبر ماركت///المخبوزات///الفطور والوجبات الخفيفة";"ar"
"522";"Supermarket///Retail///Packaged Products";"en"
"";"سوبر ماركت///المخبوزات///المنتجات المعبأة";"ar"
"523";"Supermarket///Retail///Bakery";"en"
"";"سوبر ماركت///المخبوزات///المشروبات";"ar"
"524";"Supermarket///Retail///Dairy";"en"
"";"سوبر ماركت///المخبوزات///منتجات الألبان";"ar"
"525";"Supermarket///Retail///Beverages";"en"
"";"سوبر ماركت///المخبوزات///العناية والنظافة الشخصية";"ar"
"526";"Supermarket///Retail///Cleaning Products";"en"
"";"سوبر ماركت///المخبوزات///منتجات التنظيف";"ar"
"527";"Supermarket///Retail///Household Products";"en"
"";"سوبر ماركت///المخبوزات///منتجات منزلية";"ar"
"528";"Supermarket///Retail///Care And Hygiene";"en"
"";"سوبر ماركت///المخبوزات///الجبن واللحوم الباردة";"ar"
"529";"Supermarket///Retail///Clothing";"en"
"";"سوبر ماركت///المخبوزات///ملابس";"ar"
"531";"Supermarket///Retail///Pet Products";"en"
"";"سوبر ماركت///المخبوزات///منتجات الحيوانات الأليفة";"ar"
"532";"Supermarket///Retail///Seasonal Products";"en"
"";"سوبر ماركت///المخبوزات///منتجات موسمية";"ar"
"535";"Automotive///Car Parts///Engine Parts";"en"
"";"السيارات///قطع غيار السيارات///قطع غيار المحرك";"ar"
"536";"Automotive///Car Parts///Brake Systems";"en"
"";"السيارات///قطع غيار السيارات///أنظمة الفرامل";"ar"
"537";"Automotive///Car Parts///Transmission Parts";"en"
"";"السيارات///قطع غيار السيارات///قطع غيار ناقل الحركة";"ar"
"538";"Automotive///Car Parts///Electrical Parts";"en"
"";"السيارات///قطع غيار السيارات///قطع غيار كهربائية";"ar"
"539";"Automotive///Car Parts///Filters & Fluids";"en"
"";"السيارات///قطع غيار السيارات///الفلاتر والسوائل";"ar"
"540";"Automotive///Car Parts///Body Parts";"en"
"";"السيارات///قطع غيار السيارات///قطع غيار الهيكل";"ar"
"541";"Automotive///Auto Accessories///Care Products";"en"
"";"السيارات///اكسسوارات السيارات///منتجات العناية";"ar"
"542";"Automotive///Auto Accessories///Tools & Equipment";"en"
"";"السيارات///اكسسوارات السيارات///أدوات ومعدات";"ar"
"543";"Automotive///Auto Accessories///Car Electronics";"en"
"";"السيارات///اكسسوارات السيارات///إلكترونيات السيارات";"ar"
"544";"Automotive///Auto Accessories///Interior Accessories";"en"
"";"السيارات///اكسسوارات السيارات///اكسسوارات داخلية";"ar"
"545";"Automotive///Auto Accessories///Exterior Accessories";"en"
"";"السيارات///اكسسوارات السيارات///اكسسوارات خارجية";"ar"
"546";"Automotive///Auto Accessories///Maintenance Items";"en"
"";"السيارات///اكسسوارات السيارات///مستلزمات الصيانة";"ar"
"547";"Electronics & Digital Products///Digital Products///E-Learning";"en"
"";"الإلكترونيات والمنتجات الرقمية///المنتجات الرقمية///التعلم الإلكتروني";"ar"
"548";"Electronics & Digital Products///Digital Products///Art Gallery";"en"
"";"الإلكترونيات والمنتجات الرقمية///المنتجات الرقمية///معرض الفن";"ar"
"549";"Fresh & Local///Fruits from farms///Fruites";"en"
"";"منتجات طازجة ومحلية///فواكه من المزارع///فواكه";"ar"
