Product code;Language;Product id;Category;List price;Price;Weight;Quantity;Min quantity;Shipping freight;Date added;Downloadable;Files;Ship downloadable;Inventory tracking;Free shipping;Zero price action;Thumbnail;Detailed image;Product name;Description;Meta keywords;Meta description;Search words;Page title;Taxes;Features;Options;Secondary categories;Pay by points;Override points;Override exchange rate;SEO name;Short description;Status;Popularity;Vendor;Image URL
"O019015C2L";"en";"190";"Electronics & Digital Products";"0.00";"899.95";"0.000";"8";"";"0.00";"07 Feb 2012 12:00:00";"N";"";"N";"";"N";"";"";"exim/backup/images/2181_1.jpg#{[ar]:;[en]:;}";"AF-S DX NIKKOR 10-24mm f/3.5-4.5G ED";"<p>This ultra wide-angle lens, designed exclusively for use with Nikon’s DX-format, provides a versatile wide-angle zoom perspective.</p>";"";"";"";"";"VAT";"Brand: E[Nikon]";"";"";"Y";"N";"N";"af-s-dx-nikkor-10-24mm-f-3-5-4-5g-ed";"";"A";"21";"CS-Cart";"https://is2or.com/images/thumbnails/570/570/detailed/0/2181_1.jpg"
"K02149B2ZX";"en";"214";"Electronics & Digital Products";"0.00";"972.00";"0.000";"11";"";"0.00";"08 Feb 2012 12:33:20";"N";"";"N";"";"N";"";"";"exim/backup/images/P_50013287768924f3386bc5fe80.jpg#{[ar]:;[en]:;}";"ASUS CP6130";"<p>A glossy surface givess the CP6130 an air of elegance, while and an eye-catching power button inspired from the halo of a lunar eclipse seamlessly blends in to the front of the case.</p>";"";"";"";"";"VAT";"(Electronics) Operating System: S[Windows 7 Home Premium]; (Electronics) Storage Capacity: S[1TB]; Brand: E[ASUS]";"";"";"Y";"N";"N";"asus-cp6130";"";"A";"21";"CS-Cart";"https://is2or.com/images/thumbnails/570/570/detailed/0/P_50013287768924f3386bc5fe80.jpg"
"H0217E3OE9";"en";"217";"Electronics & Digital Products";"0.00";"610.99";"0.000";"9";"";"0.00";"08 Feb 2012 12:00:00";"N";"";"N";"";"N";"";"";"exim/backup/images/P_50013287772614f33882d85395.jpg#{[ar]:;[en]:;}";"ASUS CP6230";"<p>The ASUS CP6230 features a space-saving design with a hexagonal pattern lid that easily fits anywhere in your home. It draws you in with its elegant aesthetics but holds your attention with its computer power to tackle any task.</p>";"";"";"";"";"VAT";"(Electronics) Operating System: S[Windows 7 Home Premium]; (Electronics) Storage Capacity: S[500GB]; Brand: E[ASUS]";"";"";"Y";"N";"N";"asus-cp6230";"";"A";"12";"CS-Cart";"https://is2or.com/images/thumbnails/570/570/detailed/0/P_50013287772614f33882d85395.jpg"
"B0218UO9WS";"en";"218";"Electronics & Digital Products";"0.00";"459.99";"0.000";"10";"";"0.00";"08 Feb 2012 12:00:00";"N";"";"N";"";"N";"";"";"exim/backup/images/P_50013287774434f3388e3b9edd.jpg#{[ar]:;[en]:;}";"ASUS Essentio CP1130";"<p>The ASUS new Essentio CP1130 has sleek appearance and small size make it perfectly fit anywhere in your home. At the same time, it provides complete function and delivers ultimate performance for daily computing.</p>";"";"";"";"";"VAT";"(Electronics) Operating System: S[Windows 7 Home Basic]; (Electronics) Storage Capacity: S[320GB]; Brand: E[ASUS]";"";"";"Y";"N";"N";"asus-essentio-cp1130";"";"A";"18";"CS-Cart";"https://is2or.com/images/thumbnails/570/570/detailed/0/P_50013287774434f3388e3b9edd.jpg"
"B0230S7Q0V";"en";"230";"Electronics & Digital Products";"0.00";"125.00";"0.000";"11";"";"0.00";"08 Feb 2012 12:00:00";"N";"";"N";"";"N";"";"";"exim/backup/images/url_uploaded_file_13287871234f33aeb3d0793.jpg#{[ar]:;[en]:;}";"2011 Pit Boss";"<p>Hydration Capacity: 100 oz (3 L)<br /><br />Total Capacity: 1800 cu in (29.50 L)<br /><br />CamelBak® Got Your Bak™ Guarantee: If we built it, we'll Bak it™ with our lifetime guarantee. <br /><br />Reservoir Features: Quick Link™ System, 1/4 turn - easy open/close cap, lightweight fillport, dryer arms, center baffling and low-profile design, patented Big Bite™ Valve, HydroGuard™ technology, insulated PureFlow™ tube, easy-to-clean wide-mouth opening<br /><br />BACK PANEL: Air Director™ Snowshed™<br /><br />HARNESS: Therminator™ provides easy access for frequent sipping, insulated and fully enclosed to protect against freezing<br /><br />BELT: Load-bearing with cargo<br /><br />Additional Features: <br />Versatile Snowboard / Ski Carry (Diagonal, Vertical or Horizontal), tri-zip quick gear access, gear compression, goggle pocket, essentials pocket<br />Drop-out Probe Pocket for instant probe access -- locate survivors without unloading your pack<br /><br />Designed to carry: skis/snowboard, shovel, probe, skins, snowshoes, helmet, goggles, extra layers, lunch, tools, camera, phone, wallet, keys</p>";"";"";"";"";"VAT";"Brand: E[Camelback]";"";"";"Y";"N";"N";"2011-pit-boss";"";"A";"27";"CS-Cart";"https://is2or.com/images/thumbnails/570/570/detailed/0/url_uploaded_file_13287871234f33aeb3d0793.jpg"
"S0231YYSMK";"en";"231";"Electronics & Digital Products";"0.00";"99.00";"0.000";"10";"";"0.00";"08 Feb 2012 12:00:00";"N";"";"N";"";"N";"";"";"exim/backup/images/url_uploaded_file_13287872334f33af2276de4.jpg#{[ar]:;[en]:;}";"2011 Tycoon";"<p>Hydration Capacity: 100 oz (3 L)<br /><br />Total Capacity: 1125 cu in (18.44 L)<br /><br />CamelBak® Got Your Bak™ Guarantee: If we built it, we'll Bak it™ with our lifetime guarantee. <br /><br />Reservoir Features: Quick Link™ System, 1/4 turn - easy open/close cap, lightweight fillport, dryer arms, center baffling and low-profile design, patented Big Bite™ Valve, HydroGuard™ technology, insulated PureFlow™ tube, easy-to-clean wide-mouth opening<br /><br />BACK PANEL: Snowshed™<br /><br />HARNESS: Therminator™ provides easy access for frequent sipping, insulated and fully enclosed to protect against freezing<br /><br />BELT: Load-bearing<br /><br />Additional Features: <br />Snowboard / Ski Carry (Diagonal, Vertical or Horizontal), pack compression, goggle pocket, essentials pocket<br />Drop-out Probe Pocket for instant probe access -- locate survivors without unloading your pack<br /><br />Designed to carry: skis/snowboard, shovel, probe, skins or snowshoes, goggles, extra layer, snack, phone, wallet, keys</p>";"";"";"";"";"VAT";"Brand: E[Camelback]";"";"";"Y";"N";"N";"2011-tycoon";"";"A";"21";"CS-Cart";"https://is2or.com/images/thumbnails/570/570/detailed/0/url_uploaded_file_13287872334f33af2276de4.jpg"
"S0232MRZ1Y";"en";"232";"Electronics & Digital Products";"0.00";"79.95";"0.000";"10";"";"0.00";"08 Feb 2012 12:00:00";"N";"";"N";"";"N";"";"";"exim/backup/images/url_uploaded_file_13287873494f33af96095d8.jpg#{[ar]:;[en]:;}";"2011 Ice Queen";"<p>Hydration Capacity: 70 oz (2 L)<br /><br />Total Capacity: 1000 cu in (16.39 L)<br /><br />CamelBak®Got Your Bak™ Guarantee: If we built it, we'll Bak it™ with our lifetime guarantee. <br /><br />Reservoir Features: 1/4 turn - easy open/close cap, lightweight fillport, dryer arms, center baffling and low-profile design, patented Big Bite™ Valve, HydroGuard™ technology, insulated PureFlow™ tube, easy-to-clean wide-mouth opening<br /><br />BACK PANEL: Snowshed™<br /><br />HARNESS: S-Curved Women's Harness; Therminator™ provides easy access for frequent sipping, insulated and fully enclosed to protect against freezing<br /><br />BELT: Removable 1"" (25 mm) stability<br /><br />Additional Features: <br />Tri-Zip design allows easy access to all your gear, compresion, goggle pocket, essentials pocket<br /><br />Designed to carry: Helmet, goggles, extra layers, lunch, phone, wallet, keys</p>";"";"";"";"";"VAT";"Brand: E[Camelback]";"";"";"Y";"N";"N";"2011-ice-queen";"";"A";"18";"CS-Cart";"https://is2or.com/images/thumbnails/570/570/detailed/0/url_uploaded_file_13287873494f33af96095d8.jpg"
"E0240Y27BE";"en";"240";"Electronics & Digital Products";"0.00";"499.00";"0.000";"12";"";"0.00";"31 Jan 2013 12:00:00";"N";"";"N";"";"N";"";"";"exim/backup/images/ipad-black-1.jpg#{[ar]:;[en]:;}";"Apple® - iPad® with Retina® display Wi-Fi - 64GB - Black";"<p>iPad features a stunning Retina display, iSight® and FaceTime cameras, the all new A6X chip and ultrafast wireless. And with access to over 275,000 apps1 on the App Store, you can do more than ever.</p>";"";"";"";"";"VAT";"(Electronics) Operating System: S[iOS 5]; (Electronics) Display: S[9.7""]; Brand: E[Apple]";"(CS-Cart) Apple iPad 3G: CG[No,Yes///modifier=200.000///modifier_type=A]///missing_variants_handling=M///multiupload=N///required=N///status=A; (CS-Cart) Memory capacity: SG[16GB,32GB///modifier=100.000///modifier_type=A,64GB///modifier=200.000///modifier_type=A,128GB///modifier=300.000///modifier_type=A]///missing_variants_handling=M///multiupload=N///required=N///status=A";"";"Y";"N";"N";"apple-ipad-with-retina-display-wi-fi-64gb-black";"";"A";"21";"CS-Cart";"https://is2or.com/images/thumbnails/570/570/detailed/0/ipad-black-1.jpg"
"I0241GCXF9";"en";"241";"Electronics & Digital Products";"0.00";"499.00";"0.000";"11";"";"0.00";"07 Nov 2013 12:00:00";"N";"";"N";"";"N";"";"";"exim/backup/images/ipad-white-1.jpg#{[ar]:;[en]:;}";"Apple® - iPad® with Retina® display Wi-Fi - 32GB - White";"<p>  iPad features a stunning Retina display, iSight® and FaceTime cameras, the all new A6X chip and ultrafast wireless. And with access to over 275,000 apps1 on the App Store, you can do more than ever.</p>";"";"";"";"";"VAT";"(Electronics) Operating System: S[iOS 5]; (Electronics) Display: S[9.7""]; Brand: E[Apple]";"(CS-Cart) Apple 3G: CG[No,Yes///modifier=200.000///modifier_type=A]///missing_variants_handling=M///multiupload=N///required=N///status=A; (CS-Cart) Memory capacity: SG[16GB,32GB///modifier=100.000///modifier_type=A,64GB///modifier=200.000///modifier_type=A,128GB///modifier=300.000///modifier_type=A]///missing_variants_handling=M///multiupload=N///required=N///status=A";"";"Y";"N";"N";"apple-ipad-with-retina-display-wi-fi-32gb-white";"";"A";"21";"CS-Cart";"https://is2or.com/images/thumbnails/570/570/detailed/0/ipad-white-1.jpg"
"H0015EXYM6";"en";"307";"Products without category";"0.00";"150.00";"0.000";"22";"";"0.00";"11 Feb 2025 10:57:40";"N";"";"N";"";"N";"";"";"exim/backup/images/452499_010_A.jpg#{[ar]:;[en]:;}";"";"<div class=""text description black-white""><div class=""product-description-component""><p><strong>The Nike Chambray Super Runner Jacket: A durable, updated classic </strong></p><br /><p>The  timeless Windrunner design gets a premium upgrade in the Nike Chambray  Super Runner Men's Jacket. Created with tough, water-resistant fabric  and a mesh lining, this jacket combines breathability and protection  from the elements.</p><br /><p><strong>Benefits</strong></p>Hood with drawcord for an adjustable fitOverlay at yoke and raglan sleeves for style and enhanced protectionRib cuffs and hem for a fit that stays in placeMesh lining for enhanced ventilationDurable, wind-resistant fabric to protect against the elements<br /><p><strong>Additional Details</strong></p>Side zip pockets for secure storageFabric: Body: 100% cotton. Lining and overlay: 100% polyester.Machine washImported</div></div>";"";"";"";"";"";"";"";"";"N";"N";"N";"product-307";"";"A";"3";"CS-Cart";"https://is2or.com/images/thumbnails/570/570/detailed/9/452499_010_A.jpg"
