Product code;Language;Product id;Category;List price;Price;Weight;Quantity;Shipping freight;Files;Inventory tracking;Free shipping;Thumbnail;Product name;Description;Meta keywords;Meta description;Search words;Page title;Taxes;Features;Secondary categories;Pay by points;Override points;Override exchange rate;SEO name;Short description;Status;Popularity;Vendor;Image URL
"W0008TGVI1";"en";"8";"Electronics & Digital Products";"949.99";"849.99";"0.000";"9";"0.00";"";"";"N";"";"Toshiba 32TL515U 32"" Class 1080P 3D LED HD TV";"<p> Although its attractive features, design, and passive 3D have merit, the picture quality issues of the Toshiba TL515U LED-based LCD TV lessen its appeal in the face of the stiff competition.</p>";"";"";"";"";"VAT";"Brand: E[Toshiba]";"";"Y";"N";"N";"toshiba-32tl515u-32-class-1080p-3d-led-hd-tv";"";"A";"0";"CS-Cart";"https://is2or.com/images/thumbnails/570/570/detailed/0/led-tv-32TL515-01.jpg"
"";"ar";"";"Electronics";"";"";"";"";"";"";"";"";"";"Toshiba 32TL515U 32"" Class 1080P 3D LED HD TV";"<p> Although its attractive features, design, and passive 3D have merit, the picture quality issues of the Toshiba TL515U LED-based LCD TV lessen its appeal in the face of the stiff competition.</p>";"";"";"";"";"VAT";"Brand: E[Toshiba]";"";"";"";"";"";"";"";"";"";"https://is2or.com/images/thumbnails/570/570/detailed/0/led-tv-32TL515-01.jpg"
"F0009ORD06";"en";"9";"Electronics & Digital Products";"0.00";"999.99";"0.000";"15";"0.00";"";"";"N";"";"Toshiba 42TL515U 42"" Class 1080P 3D LED HD TV";"<p>Although its attractive features, design, and passive 3D have merit, the picture quality issues of the Toshiba TL515U LED-based LCD TV lessen its appeal in the face of the stiff competition.</p>";"";"";"";"";"VAT";"Brand: E[Toshiba]";"";"Y";"N";"N";"toshiba-42tl515u-42-class-1080p-3d-led-hd-tv";"";"A";"3";"CS-Cart";"https://is2or.com/images/thumbnails/570/570/detailed/0/led-tv-42TL515-01.jpg"
"";"ar";"";"Electronics";"";"";"";"";"";"";"";"";"";"Toshiba 42TL515U 42"" Class 1080P 3D LED HD TV";"<p>Although its attractive features, design, and passive 3D have merit, the picture quality issues of the Toshiba TL515U LED-based LCD TV lessen its appeal in the face of the stiff competition.</p>";"";"";"";"";"VAT";"Brand: E[Toshiba]";"";"";"";"";"";"";"";"";"";"https://is2or.com/images/thumbnails/570/570/detailed/0/led-tv-42TL515-01.jpg"
"L00102FQ97";"en";"10";"Electronics & Digital Products";"0.00";"1199.99";"0.000";"7";"0.00";"";"";"N";"";"Toshiba 47TL515U 47"" Class 1080P 3D LED HD TV";"<p>Although its attractive features, design, and passive 3D have merit, the picture quality issues of the Toshiba TL515U LED-based LCD TV lessen its appeal in the face of the stiff competition.</p>";"";"";"";"";"VAT";"Brand: E[Toshiba]";"";"Y";"N";"N";"toshiba-47tl515u-47-class-1080p-3d-led-hd-tv";"";"A";"3";"CS-Cart";"https://is2or.com/images/thumbnails/570/570/detailed/0/47tl515.jpg"
"";"ar";"";"Electronics";"";"";"";"";"";"";"";"";"";"Toshiba 47TL515U 47"" Class 1080P 3D LED HD TV";"<p>Although its attractive features, design, and passive 3D have merit, the picture quality issues of the Toshiba TL515U LED-based LCD TV lessen its appeal in the face of the stiff competition.</p>";"";"";"";"";"VAT";"Brand: E[Toshiba]";"";"";"";"";"";"";"";"";"";"https://is2or.com/images/thumbnails/570/570/detailed/0/47tl515.jpg"
"Z0011CZSNI";"en";"11";"Electronics & Digital Products";"0.00";"30.00";"0.000";"49";"0.00";"";"";"N";"";"Collegiate 72 Tee";"<p>It's not how old you are, it's how stylish, and this men's adidas  Originals Collegiate 72 Tee shirt feels just as fresh as it was the day  the Trefoil was born in 1972. That's why this t-shirt features a  collegiate ""72"" on the front.</p>";"";"";"";"";"VAT";"Brand: E[Adidas]";"";"Y";"N";"N";"collegiate-72-tee";"";"A";"3";"CS-Cart";"https://is2or.com/images/thumbnails/570/570/detailed/0/X32444_01.jpg"
"";"ar";"";"Electronics";"";"";"";"";"";"";"";"";"";"Collegiate 72 Tee";"<p>It's not how old you are, it's how stylish, and this men's adidas  Originals Collegiate 72 Tee shirt feels just as fresh as it was the day  the Trefoil was born in 1972. That's why this t-shirt features a  collegiate ""72"" on the front.</p>";"";"";"";"";"VAT";"Brand: E[Adidas]";"";"";"";"";"";"";"";"";"";"https://is2or.com/images/thumbnails/570/570/detailed/0/X32444_01.jpg"
"U0012O5AF0";"en";"12";"Electronics & Digital Products";"31.00";"30.00";"0.000";"10";"0.00";"";"";"N";"";"100g Pants";"<p>When coach calls you off the bench, you need warm-up pants that come off  in three seconds or less. That’s why these men's adidas 100g basketball  pants have tear-away snaps down the sides, so you're ready for action  as fast as a superhero.</p>";"";"";"";"";"VAT";"Brand: E[Adidas]";"";"Y";"N";"N";"100g-pants";"";"A";"3";"CS-Cart";"https://is2or.com/images/thumbnails/570/570/detailed/0/173283_0113298267324f438bac97eaf.jpg"
"";"ar";"";"Electronics";"";"";"";"";"";"";"";"";"";"100g Pants";"<p>When coach calls you off the bench, you need warm-up pants that come off  in three seconds or less. That’s why these men's adidas 100g basketball  pants have tear-away snaps down the sides, so you're ready for action  as fast as a superhero.</p>";"";"";"";"";"VAT";"Brand: E[Adidas]";"";"";"";"";"";"";"";"";"";"https://is2or.com/images/thumbnails/570/570/detailed/0/173283_0113298267324f438bac97eaf.jpg"
"J00133PNYZ";"en";"13";"Electronics & Digital Products";"12.00";"11.96";"0.000";"9";"0.00";"";"";"N";"";"Your Idea, Inc. 12 Steps to Building a Million Dollar Business -- Starting Today!";"<p style=""text-align: left; color: #000000; font-size: 12px; background-color: #ffffff;"">Every time a new story about how some nobody from nowhere got rich producing some clever new product in his garage, you may think, ""Why can't I do that?"" Well, anyone can--the trick is to take those good ideas and build them into great products that can succeed in the marketplace. In this book, you will get the 12-step plan you need to make your new product or service a profitable reality. You will learn important skills for success, including how to:</p><ul style=""text-align: left; color: #000000; font-size: 12px; background-color: #ffffff;""><li style=""text-align: left;"">Refine their idea to attract a target audience</li><li style=""text-align: left;"">Research the competition</li><li style=""text-align: left;"">Find the right manufacturer</li><li style=""text-align: left;"">Create appropriate brand messaging</li><li style=""text-align: left;"">Build buzz online and beyond</li><li style=""text-align: left;"">Work trade shows and conventions</li></ul><p><span style=""color: #000000; font-family: Arial, sans-serif; font-size: 12px; background-color: #ffffff;"">Written by a woman with no formal business experience who turned her own idea into a million-dollar company, this book is the pragmatic yet inspiring guide every aspiring entrepreneur is looking for.</span></p>";"";"";"";"";"VAT";"";"";"Y";"N";"N";"your-idea-inc-12-steps-to-building-a-million-dollar-business-starting-today";"";"A";"0";"CS-Cart";"https://is2or.com/images/thumbnails/570/570/detailed/0/Z2580.jpg"
"";"ar";"";"Electronics";"";"";"";"";"";"";"";"";"";"Your Idea, Inc. 12 Steps to Building a Million Dollar Business -- Starting Today!";"<p style=""text-align: left; color: #000000; font-size: 12px; background-color: #ffffff;"">Every time a new story about how some nobody from nowhere got rich producing some clever new product in his garage, you may think, ""Why can't I do that?"" Well, anyone can--the trick is to take those good ideas and build them into great products that can succeed in the marketplace. In this book, you will get the 12-step plan you need to make your new product or service a profitable reality. You will learn important skills for success, including how to:</p><ul style=""text-align: left; color: #000000; font-size: 12px; background-color: #ffffff;""><li style=""text-align: left;"">Refine their idea to attract a target audience</li><li style=""text-align: left;"">Research the competition</li><li style=""text-align: left;"">Find the right manufacturer</li><li style=""text-align: left;"">Create appropriate brand messaging</li><li style=""text-align: left;"">Build buzz online and beyond</li><li style=""text-align: left;"">Work trade shows and conventions</li></ul><p><span style=""color: #000000; font-family: Arial, sans-serif; font-size: 12px; background-color: #ffffff;"">Written by a woman with no formal business experience who turned her own idea into a million-dollar company, this book is the pragmatic yet inspiring guide every aspiring entrepreneur is looking for.</span></p>";"";"";"";"";"VAT";"";"";"";"";"";"";"";"";"";"";"https://is2or.com/images/thumbnails/570/570/detailed/0/Z2580.jpg"
"M0014IVPFH";"en";"14";"Electronics & Digital Products";"0.00";"499.99";"0.000";"14";"0.00";"";"";"N";"";"Toshiba 40E220U 40"" Class 1080P HD LCD TV";"<p>Enjoy a stunning picture bursting with color and clarity with the 40-inch Toshiba 40E200U LCD HDTV (40-inch diagonal screen size), featuring a 1080p Full HD resolution that provides twice the pixel resolution of 720p HD models. It provides a number of convenient home entertainment options and key picture quality features, including DynaLight dynamic backlight control for deeper black levels and four HDMI digital inputs for simple high quality connection to cable/satellite boxes, DVD players and more. Plus, the HDMI ports feature fast InstaPort switching for quick changes from one source to another.&nbsp;<br /><br />DynaLight automatically adjusts the backlight intensity based on the image content.<br /><br /> With the Gaming Mode function, you'll experience reduced game control delay and improved reaction time--perfect for PC gaming--and the Photo Frame capability with Auto Slide Show enables you to display slideshows of your favorite images when not watching TV programming. <br /><br /> Boasting a slimming tapered bezel and attractive front panel gradation, the new Horizon design creates a more modern, elegant appearance that also adds a subtle luminance to the logo to further its stylish appeal. Other features include MP3 playback via the integrated USB port, a PC input, and a removable stand.</p>";"";"";"";"";"VAT";"Brand: E[Toshiba]";"";"Y";"N";"N";"toshiba-40e220u-40-class-1080p-hd-lcd-tv";"";"A";"0";"CS-Cart";"https://is2or.com/images/thumbnails/570/570/detailed/0/40e220u.jpg"
"";"ar";"";"Electronics";"";"";"";"";"";"";"";"";"";"Toshiba 40E220U 40"" Class 1080P HD LCD TV";"<p>Enjoy a stunning picture bursting with color and clarity with the 40-inch Toshiba 40E200U LCD HDTV (40-inch diagonal screen size), featuring a 1080p Full HD resolution that provides twice the pixel resolution of 720p HD models. It provides a number of convenient home entertainment options and key picture quality features, including DynaLight dynamic backlight control for deeper black levels and four HDMI digital inputs for simple high quality connection to cable/satellite boxes, DVD players and more. Plus, the HDMI ports feature fast InstaPort switching for quick changes from one source to another.&nbsp;<br /><br />DynaLight automatically adjusts the backlight intensity based on the image content.<br /><br /> With the Gaming Mode function, you'll experience reduced game control delay and improved reaction time--perfect for PC gaming--and the Photo Frame capability with Auto Slide Show enables you to display slideshows of your favorite images when not watching TV programming. <br /><br /> Boasting a slimming tapered bezel and attractive front panel gradation, the new Horizon design creates a more modern, elegant appearance that also adds a subtle luminance to the logo to further its stylish appeal. Other features include MP3 playback via the integrated USB port, a PC input, and a removable stand.</p>";"";"";"";"";"VAT";"Brand: E[Toshiba]";"";"";"";"";"";"";"";"";"";"https://is2or.com/images/thumbnails/570/570/detailed/0/40e220u.jpg"
"H0015EXYM6";"en";"15";"Electronics & Digital Products";"0.00";"150.00";"0.000";"20";"0.00";"";"";"N";"";"Nike Chambray Super Runner Men's Jacket";"<div class=""text description black-white""><div class=""product-description-component""><p><strong>The Nike Chambray Super Runner Jacket: A durable, updated classic </strong></p><br /><p>The  timeless Windrunner design gets a premium upgrade in the Nike Chambray  Super Runner Men's Jacket. Created with tough, water-resistant fabric  and a mesh lining, this jacket combines breathability and protection  from the elements.</p><br /><p><strong>Benefits</strong></p><li>Hood with drawcord for an adjustable fit</li><li>Overlay at yoke and raglan sleeves for style and enhanced protection</li><li>Rib cuffs and hem for a fit that stays in place</li><li>Mesh lining for enhanced ventilation</li><li>Durable, wind-resistant fabric to protect against the elements</li><br /><p><strong>Additional Details</strong></p><li>Side zip pockets for secure storage</li><li>Fabric: Body: 100% cotton. Lining and overlay: 100% polyester.</li><li>Machine wash</li><li>Imported</li></div></div>";"";"";"";"";"VAT";"Brand: E[Nike]";"";"Y";"N";"N";"nike-chambray-super-runner-mens-jacket";"<p>The  timeless Windrunner design gets a premium upgrade in the Nike Chambray  Super Runner Men's Jacket. Created with tough, water-resistant fabric  and a mesh lining, this jacket combines breathability and protection  from the elements.</p>";"A";"18";"ACME Corp";"https://is2or.com/images/thumbnails/570/570/detailed/0/452499_010_A.jpg"
"";"ar";"";"Electronics";"";"";"";"";"";"";"";"";"";"Nike Chambray Super Runner Men's Jacket";"<div class=""text description black-white""><div class=""product-description-component""><p><strong>The Nike Chambray Super Runner Jacket: A durable, updated classic </strong></p><br /><p>The  timeless Windrunner design gets a premium upgrade in the Nike Chambray  Super Runner Men's Jacket. Created with tough, water-resistant fabric  and a mesh lining, this jacket combines breathability and protection  from the elements.</p><br /><p><strong>Benefits</strong></p><li>Hood with drawcord for an adjustable fit</li><li>Overlay at yoke and raglan sleeves for style and enhanced protection</li><li>Rib cuffs and hem for a fit that stays in place</li><li>Mesh lining for enhanced ventilation</li><li>Durable, wind-resistant fabric to protect against the elements</li><br /><p><strong>Additional Details</strong></p><li>Side zip pockets for secure storage</li><li>Fabric: Body: 100% cotton. Lining and overlay: 100% polyester.</li><li>Machine wash</li><li>Imported</li></div></div>";"";"";"";"";"VAT";"Brand: E[Nike]";"";"";"";"";"";"<p>The  timeless Windrunner design gets a premium upgrade in the Nike Chambray  Super Runner Men's Jacket. Created with tough, water-resistant fabric  and a mesh lining, this jacket combines breathability and protection  from the elements.</p>";"";"";"";"https://is2or.com/images/thumbnails/570/570/detailed/0/452499_010_A.jpg"
"H00162EP2P";"en";"16";"Electronics & Digital Products";"0.00";"349.99";"0.000";"6";"0.00";"";"";"N";"";"3D Blu-ray Disc™ Player (BD-D7500)";"<p>Whether you are viewing a premium-quality 2D picture or seeing incredible 3D depth, images are breathtakingly real in Samsung Full HD. Combine with a 3D TV and 3D active shutter glasses to view the latest Hollywood 3D titles or amplify your viewing experience by upconverting 2D content to immersive 3D.</p>";"";"";"";"";"VAT";"Brand: E[Samsung]";"";"Y";"N";"N";"3d-blu-ray-disc-player-bd-d7500";"";"A";"3";"CS-Cart";"https://is2or.com/images/thumbnails/570/570/detailed/0/BD-D7500_01-copy_5.jpg"
"";"ar";"";"Electronics";"";"";"";"";"";"";"";"";"";"3D Blu-ray Disc™ Player (BD-D7500)";"<p>Whether you are viewing a premium-quality 2D picture or seeing incredible 3D depth, images are breathtakingly real in Samsung Full HD. Combine with a 3D TV and 3D active shutter glasses to view the latest Hollywood 3D titles or amplify your viewing experience by upconverting 2D content to immersive 3D.</p>";"";"";"";"";"VAT";"Brand: E[Samsung]";"";"";"";"";"";"";"";"";"";"https://is2or.com/images/thumbnails/570/570/detailed/0/BD-D7500_01-copy_5.jpg"
"G0017HS88V";"en";"17";"Electronics & Digital Products";"0.00";"11.16";"0.000";"19";"0.00";"";"";"N";"";"101 Things Everyone Should Know About Economics A Down and Dirty Guide to Everything from Securities and Derivatives to Interest Rates and Hedge Funds—And What They Mean For You";"<p><span style=""color: #000000; font-family: Arial, sans-serif; font-size: 12px; background-color: #ffffff;"">What you don't know about economics can hurt you&mdash;now more than ever. This easy-to-understand guide answers all the questions you need to know to secure your financial future, such as:</span></p><ul style=""text-align: left; color: #000000; font-size: 12px; background-color: #ffffff;""><li style=""text-align: left;"">What does it mean to my paycheck when the Fed lowers or raises interest rates?</li><li style=""text-align: left;"">What's the difference between bonds, securities, and derivatives&mdash;and which should I invest in now?</li><li style=""text-align: left;"">What does Keynesian economics have to do with my savings?</li></ul><p><span style=""color: #000000; font-family: Arial, sans-serif; font-size: 12px; background-color: #ffffff;"">For those people whose heads spin when reading the business pages of the newspaper, here's a roadmap through the economic jungle. In simple, plain language, Peter Sander explains how economies work, why they grow, how they contract, and what the government can and can't do to help them. Most important, he tells you how all this affects&nbsp;</span><em style=""color: #000000; font-family: Arial, sans-serif; font-size: 12px; background-color: #ffffff;"">you</em><span style=""color: #000000; font-family: Arial, sans-serif; font-size: 12px; background-color: #ffffff;"">&mdash;and what kind of changes you're going to see in your finances as a result.</span></p><p style=""text-align: left; color: #000000; font-size: 12px; background-color: #ffffff;"">Economics has been called the ""dismal"" science. But it doesn't need to be gloomy or impenetrable. This book is an essential guide for anyone who wants to understand where the economy is today, where it's going, and what it means for the rest of us.</p><p>&nbsp;</p>";"";"";"";"";"VAT";"";"";"Y";"N";"N";"101-things-everyone-should-know-about-economics-a-down-and-dirty-guide-to-everything-from-securities-and-derivatives-to-interest-rates-and-hedge-fundsand-what-they-mean-for-you";"";"A";"3";"CS-Cart";"https://is2or.com/images/thumbnails/570/570/detailed/0/Z6595.jpg"
"";"ar";"";"Electronics";"";"";"";"";"";"";"";"";"";"101 Things Everyone Should Know About Economics A Down and Dirty Guide to Everything from Securities and Derivatives to Interest Rates and Hedge Funds—And What They Mean For You";"<p><span style=""color: #000000; font-family: Arial, sans-serif; font-size: 12px; background-color: #ffffff;"">What you don't know about economics can hurt you&mdash;now more than ever. This easy-to-understand guide answers all the questions you need to know to secure your financial future, such as:</span></p><ul style=""text-align: left; color: #000000; font-size: 12px; background-color: #ffffff;""><li style=""text-align: left;"">What does it mean to my paycheck when the Fed lowers or raises interest rates?</li><li style=""text-align: left;"">What's the difference between bonds, securities, and derivatives&mdash;and which should I invest in now?</li><li style=""text-align: left;"">What does Keynesian economics have to do with my savings?</li></ul><p><span style=""color: #000000; font-family: Arial, sans-serif; font-size: 12px; background-color: #ffffff;"">For those people whose heads spin when reading the business pages of the newspaper, here's a roadmap through the economic jungle. In simple, plain language, Peter Sander explains how economies work, why they grow, how they contract, and what the government can and can't do to help them. Most important, he tells you how all this affects&nbsp;</span><em style=""color: #000000; font-family: Arial, sans-serif; font-size: 12px; background-color: #ffffff;"">you</em><span style=""color: #000000; font-family: Arial, sans-serif; font-size: 12px; background-color: #ffffff;"">&mdash;and what kind of changes you're going to see in your finances as a result.</span></p><p style=""text-align: left; color: #000000; font-size: 12px; background-color: #ffffff;"">Economics has been called the ""dismal"" science. But it doesn't need to be gloomy or impenetrable. This book is an essential guide for anyone who wants to understand where the economy is today, where it's going, and what it means for the rest of us.</p><p>&nbsp;</p>";"";"";"";"";"VAT";"";"";"";"";"";"";"";"";"";"";"https://is2or.com/images/thumbnails/570/570/detailed/0/Z6595.jpg"
"W0018W504I";"en";"18";"Electronics & Digital Products";"0.00";"299.99";"0.000";"3";"0.00";"";"";"N";"";"3D Blu-ray Disc™ Player (BD-D7000)";"<p>Whether you are viewing a premium-quality 2D picture or seeing incredible 3D depth, images are breathtakingly real in Samsung Full HD. Combine with a 3D TV and 3D active shutter glasses to view the latest Hollywood 3D titles or amplify your viewing experience by upconverting 2D content to immersive 3D.</p>";"";"";"";"";"VAT";"Brand: E[Samsung]";"";"Y";"N";"N";"3d-blu-ray-disc-player-bd-d7000";"";"A";"3";"CS-Cart";"https://is2or.com/images/thumbnails/570/570/detailed/0/BD-D7000_F_5.jpg"
"";"ar";"";"Electronics";"";"";"";"";"";"";"";"";"";"3D Blu-ray Disc™ Player (BD-D7000)";"<p>Whether you are viewing a premium-quality 2D picture or seeing incredible 3D depth, images are breathtakingly real in Samsung Full HD. Combine with a 3D TV and 3D active shutter glasses to view the latest Hollywood 3D titles or amplify your viewing experience by upconverting 2D content to immersive 3D.</p>";"";"";"";"";"VAT";"Brand: E[Samsung]";"";"";"";"";"";"";"";"";"";"https://is2or.com/images/thumbnails/570/570/detailed/0/BD-D7000_F_5.jpg"
"J001933ZYZ";"en";"19";"Electronics & Digital Products";"0.00";"79.99";"0.000";"20";"0.00";"";"";"N";"";"Toshiba BDX2150 Blu-ray Player";"<p>Enjoy the clarity of Blu-ray and the convenience of streaming media with the Toshiba BDX2150 Blu-ray Disc player. Wi-Fi ready for clutter-free in-home connectivity (Wi-Fi adapter required, sold separately), this player lets you enjoy your favorite movies with stunning native 1080p Full HD output plus surround sound with Dolby audio enhancements. Internet connectivity enables you to take advantage of popular streaming services such as Blockbuster, Netflix*, CinemaNow, Pandora, Vudu and YouTube. In addition, BD-Live 2.0 technology allows you to access internet-only bonus material available on many Blu-ray titles. Offering both USB and HDMI with CEC ports, this player is equipped with the latest command and control functionality.</p>";"";"";"";"";"VAT";"Brand: E[Toshiba]";"";"Y";"N";"N";"toshiba-bdx2150-blu-ray-player";"";"A";"3";"CS-Cart";"https://is2or.com/images/thumbnails/570/570/detailed/0/bluray-bdx2150-600-01.jpg"
"";"ar";"";"Electronics";"";"";"";"";"";"";"";"";"";"Toshiba BDX2150 Blu-ray Player";"<p>Enjoy the clarity of Blu-ray and the convenience of streaming media with the Toshiba BDX2150 Blu-ray Disc player. Wi-Fi ready for clutter-free in-home connectivity (Wi-Fi adapter required, sold separately), this player lets you enjoy your favorite movies with stunning native 1080p Full HD output plus surround sound with Dolby audio enhancements. Internet connectivity enables you to take advantage of popular streaming services such as Blockbuster, Netflix*, CinemaNow, Pandora, Vudu and YouTube. In addition, BD-Live 2.0 technology allows you to access internet-only bonus material available on many Blu-ray titles. Offering both USB and HDMI with CEC ports, this player is equipped with the latest command and control functionality.</p>";"";"";"";"";"VAT";"Brand: E[Toshiba]";"";"";"";"";"";"";"";"";"";"https://is2or.com/images/thumbnails/570/570/detailed/0/bluray-bdx2150-600-01.jpg"
"M00209NIOG";"en";"20";"Electronics & Digital Products";"0.00";"19.95";"0.000";"1";"0.00";"";"";"N";"";"The ABCs of Gold Investing. How to Protect and Build Your Wealth with Gold";"<p><em style=""color: #000000; font-family: Verdana; background-color: #ffffff; font-size: small;""><strong>The ABCs of Gold Investing</strong></em><span style=""color: #000000; font-family: Verdana; background-color: #ffffff; font-size: small;"">&nbsp;(Second Edition) is a solid resource for investors wishing to understand the benefits of private gold ownership. In this reader-friendly book, author Michael J. Kosares addresses the rapid changes in both the American and world economies and explains why gold is important to you as an investor. And, with thirty years experience in the gold business, he can tell you how to add gold to your portfolio in a safe and economical manner.</span></p>";"";"";"";"";"VAT";"";"";"Y";"N";"N";"the-abcs-of-gold-investing-how-to-protect-and-build-your-wealth-with-gold";"";"A";"0";"CS-Cart";"https://is2or.com/images/thumbnails/570/570/detailed/0/1886039720.jpg"
