CategoryCode;CategoryPath;Language;Store;Vendor categories fee - Is2or - with the commission;Vendor categories fee - Is2or - Free;Status
"421";"Electronics & Digital///Gaming";"en";"Is2or";"";"8.60";"A"
"439";"Fashion & Jewelry///Man";"en";"Is2or";"";"14.80";"A"
"440";"Fashion & Jewelry///Woman";"en";"Is2or";"";"14.80";"A"
"441";"Fashion & Jewelry///Kids";"en";"Is2or";"";"14.80";"A"
"442";"Fashion & Jewelry///Jewllery";"en";"Is2or";"";"14.90";"A"
"458";"Sports & Hobbies///Sports";"en";"Is2or";"";"11.50";"A"
"459";"Sports & Hobbies///Toys";"en";"Is2or";"";"12.00";"A"
"474";"Health & Beauty///Health";"en";"Is2or";"";"8.20";"A"
"475";"Health & Beauty///Beauty";"en";"Is2or";"";"8.20";"A"
"484";"Home & Gardening///Home";"en";"Is2or";"";"14.40";"A"
"485";"Home & Gardening///Gardenin";"en";"Is2or";"";"10.00";"A"
"504";"Fresh & Local///Homemade Meals";"en";"Is2or";"";"10.50";"A"
"505";"Fresh & Local///Fruits from farms";"en";"Is2or";"";"10.50";"A"
"506";"Fresh & Local///Nuts & Spices";"en";"Is2or";"";"10.50";"A"
"514";"Supermarket///Wholesale & Bulk";"en";"Is2or";"";"9.70";"A"
"515";"Supermarket///Retail";"en";"Is2or";"";"9.00";"A"
"533";"Automotive///Car Parts";"en";"Is2or";"";"12.00";"A"
"534";"Automotive///Auto Accessories";"en";"Is2or";"";"11.50";"A"
"13";"Electronics & Technology///Smartphones & Tablets";"en";"Store";"";"";"A"
"14";"Electronics & Technology///Laptops & Computers";"en";"Store";"";"";"A"
"15";"Electronics & Technology///Gaming Consoles & Video Games";"en";"Store";"";"";"A"
"16";"Electronics & Technology///Cameras & Photography Equipment";"en";"Store";"";"";"A"
"17";"Electronics & Technology///Audio Equipment (Headphones, Speakers)";"en";"Store";"";"";"A"
"18";"Electronics & Technology///TVs & Home Entertainment";"en";"Store";"";"";"A"
"19";"Electronics & Technology///Smartwatches & Wearables";"en";"Store";"";"";"A"
"20";"Electronics & Technology///Computer Parts & Accessories";"en";"Store";"";"";"A"
"21";"Home & Furniture///Living Room Furniture";"en";"Store";"";"";"A"
"22";"Home & Furniture///Bedroom Sets";"en";"Store";"";"";"A"
"23";"Home & Furniture///Dining Sets";"en";"Store";"";"";"A"
"24";"Home & Furniture///Office Furniture";"en";"Store";"";"";"A"
"25";"Home & Furniture///Outdoor Furniture";"en";"Store";"";"";"A"
"26";"Home & Furniture///Home Appliances";"en";"Store";"";"";"A"
"27";"Home & Furniture///Kitchen Equipment";"en";"Store";"";"";"A"
"28";"Home & Furniture///Light Fixtures";"en";"Store";"";"";"A"
"29";"Home & Furniture///Rugs & Carpets";"en";"Store";"";"";"A"
"31";"Books & Media///Books";"en";"Store";"";"";"A"
"32";"Books & Media///Textbooks";"en";"Store";"";"";"A"
"33";"Books & Media///Vinyl Records";"en";"Store";"";"";"A"
"34";"Books & Media///CDs & DVDs";"en";"Store";"";"";"A"
"35";"Books & Media///Comic Books";"en";"Store";"";"";"A"
"36";"Books & Media///Magazines";"en";"Store";"";"";"A"
"37";"Books & Media///Collectible Publications";"en";"Store";"";"";"A"
"38";"Books & Media///Educational Materials";"en";"Store";"";"";"A"
"39";"Vehicles & Transportation///Motorcycles";"en";"Store";"";"";"A"
"40";"Vehicles & Transportation///Bicycles";"en";"Store";"";"";"A"
"41";"Vehicles & Transportation///Auto Parts";"en";"Store";"";"";"A"
"42";"Vehicles & Transportation///Car Electronics";"en";"Store";"";"";"A"
"43";"Vehicles & Transportation///Tires & Wheels";"en";"Store";"";"";"A"
"44";"Vehicles & Transportation///Marine Equipment";"en";"Store";"";"";"A"
"45";"Vehicles & Transportation///Vehicle Accessories";"en";"Store";"";"";"A"
"46";"Fashion & Accessories///Designer Clothing";"en";"Store";"";"";"A"
"47";"Fashion & Accessories///Luxury Bags";"en";"Store";"";"";"A"
"48";"Fashion & Accessories///Watches";"en";"Store";"";"";"A"
"49";"Fashion & Accessories///Jewelry";"en";"Store";"";"";"A"
"50";"Fashion & Accessories///Shoes";"en";"Store";"";"";"A"
"51";"Fashion & Accessories///Vintage Clothing";"en";"Store";"";"";"A"
"52";"Fashion & Accessories///Accessories";"en";"Store";"";"";"A"
"53";"Fashion & Accessories///Designer Sunglasses";"en";"Store";"";"";"A"
"54";"Sports & Fitness///Exercise Equipment";"en";"Store";"";"";"A"
"55";"Sports & Fitness///Sports Gear";"en";"Store";"";"";"A"
"56";"Sports & Fitness///Camping Equipment";"en";"Store";"";"";"A"
"57";"Sports & Fitness///Bicycles & Accessories";"en";"Store";"";"";"A"
"58";"Sports & Fitness///Golf Equipment";"en";"Store";"";"";"A"
"59";"Sports & Fitness///Fitness Trackers";"en";"Store";"";"";"A"
"60";"Sports & Fitness///Gym Equipment";"en";"Store";"";"";"A"
"61";"Sports & Fitness///Water Sports Equipment";"en";"Store";"";"";"A"
"62";"Musical Instruments///Guitars";"en";"Store";"";"";"A"
"63";"Musical Instruments///Pianos & Keyboards";"en";"Store";"";"";"A"
"64";"Musical Instruments///Drums & Percussion";"en";"Store";"";"";"A"
"65";"Musical Instruments///DJ Equipment";"en";"Store";"";"";"A"
"66";"Musical Instruments///Studio Equipment";"en";"Store";"";"";"A"
"67";"Musical Instruments///Wind Instruments";"en";"Store";"";"";"A"
"68";"Musical Instruments///String Instruments";"en";"Store";"";"";"A"
"69";"Musical Instruments///Music Accessories";"en";"Store";"";"";"A"
"70";"Kids & Baby///Toys & Games";"en";"Store";"";"";"A"
"71";"Kids & Baby///Baby Gear";"en";"Store";"";"";"A"
"72";"Kids & Baby///Children's Furniture";"en";"Store";"";"";"A"
"73";"Kids & Baby///School Supplies";"en";"Store";"";"";"A"
"74";"Kids & Baby///Kids' Electronics";"en";"Store";"";"";"A"
"75";"Kids & Baby///Baby Clothes";"en";"Store";"";"";"A"
"76";"Kids & Baby///Strollers & Car Seats";"en";"Store";"";"";"A"
"77";"Kids & Baby///Educational Materials";"en";"Store";"";"";"A"
"78";"Tools & Industrial///Power Tools";"en";"Store";"";"";"A"
"79";"Tools & Industrial///Hand Tools";"en";"Store";"";"";"A"
"80";"Tools & Industrial///Construction Equipment";"en";"Store";"";"";"A"
"81";"Tools & Industrial///Workshop Equipment";"en";"Store";"";"";"A"
"82";"Tools & Industrial///Garden Tools";"en";"Store";"";"";"A"
"83";"Tools & Industrial///Industrial Machinery";"en";"Store";"";"";"A"
"84";"Tools & Industrial///Safety Equipment";"en";"Store";"";"";"A"
"85";"Tools & Industrial///Testing Equipment";"en";"Store";"";"";"A"
"86";"Collectibles & Art///Antiques";"en";"Store";"";"";"A"
"87";"Collectibles & Art///Art Pieces";"en";"Store";"";"";"A"
"88";"Collectibles & Art///Stamps";"en";"Store";"";"";"A"
"89";"Collectibles & Art///Coins";"en";"Store";"";"";"A"
"90";"Collectibles & Art///Trading Cards";"en";"Store";"";"";"A"
"91";"Collectibles & Art///Memorabilia";"en";"Store";"";"";"A"
"92";"Collectibles & Art///Vintage Items";"en";"Store";"";"";"A"
"93";"Collectibles & Art///Limited Edition Items";"en";"Store";"";"";"A"
"745";"Office Supplies///Paper & Stationery";"en";"B2B";"";"";"A"
"746";"Office Supplies///Printers & Accessories";"en";"B2B";"";"";"A"
"747";"Office Supplies///Office Furniture";"en";"B2B";"";"";"A"
"748";"Office Supplies///Ink & Toner";"en";"B2B";"";"";"A"
"749";"Office Supplies///Pantry & Breakroom Items";"en";"B2B";"";"";"A"
"750";"Office Supplies///Cleaning Products";"en";"B2B";"";"";"A"
"751";"Building Materials & Tools///Cement";"en";"B2B";"";"";"A"
"752";"Building Materials & Tools///Bricks & Blocks";"en";"B2B";"";"";"A"
"753";"Building Materials & Tools///Steel & Metal";"en";"B2B";"";"";"A"
"754";"Building Materials & Tools///Paint & Adhesives";"en";"B2B";"";"";"A"
"755";"Building Materials & Tools///Plumbing Supplies";"en";"B2B";"";"";"A"
"756";"Building Materials & Tools///Doors & Windows";"en";"B2B";"";"";"A"
"757";"Building Materials & Tools///Tools & Hardware";"en";"B2B";"";"";"A"
"758";"Electrical & Lighting///Wires & Cables";"en";"B2B";"";"";"A"
"759";"Electrical & Lighting///Switches & Plugs";"en";"B2B";"";"";"A"
"760";"Electrical & Lighting///Indoor & Outdoor Lights";"en";"B2B";"";"";"A"
"761";"Electrical & Lighting///Batteries & Chargers";"en";"B2B";"";"";"A"
"762";"Electrical & Lighting///Fans & Ventilation";"en";"B2B";"";"";"A"
"763";"Packaging & Shipping///Boxes & Cartons";"en";"B2B";"";"";"A"
"764";"Packaging & Shipping///Tape & Wraps";"en";"B2B";"";"";"A"
"765";"Packaging & Shipping///Bubble Wrap & Fillers";"en";"B2B";"";"";"A"
"766";"Packaging & Shipping///Labels & Stickers";"en";"B2B";"";"";"A"
"767";"Packaging & Shipping///Pallets & Containers";"en";"B2B";"";"";"A"
"768";"Safety Gear & PPE///Helmets & Headgear";"en";"B2B";"";"";"A"
"769";"Safety Gear & PPE///Gloves";"en";"B2B";"";"";"A"
"770";"Safety Gear & PPE///Safety Glasses";"en";"B2B";"";"";"A"
"771";"Safety Gear & PPE///Work Boots";"en";"B2B";"";"";"A"
"772";"Safety Gear & PPE///Masks & Respirators";"en";"B2B";"";"";"A"
"773";"Safety Gear & PPE///Fire Safety & First Aid";"en";"B2B";"";"";"A"
"781";"Restaurant & Hotel Supplies///Disposable Items";"en";"B2B";"";"";"A"
"782";"Restaurant & Hotel Supplies///Kitchen Equipment";"en";"B2B";"";"";"A"
"783";"Restaurant & Hotel Supplies///Cookware & Tools";"en";"B2B";"";"";"A"
"784";"Restaurant & Hotel Supplies///Food Storage";"en";"B2B";"";"";"A"
"785";"Restaurant & Hotel Supplies///Tableware & Serving";"en";"B2B";"";"";"A"
"786";"Restaurant & Hotel Supplies///Cleaning & Hygiene";"en";"B2B";"";"";"A"
"787";"Industrial & Workshop Supplies///Lubricants & Fluids";"en";"B2B";"";"";"A"
"788";"Industrial & Workshop Supplies///Welding & Repair Tools";"en";"B2B";"";"";"A"
"789";"Industrial & Workshop Supplies///Compressors & Pumps";"en";"B2B";"";"";"A"
"790";"Industrial & Workshop Supplies///Ladders & Platforms";"en";"B2B";"";"";"A"
"791";"Industrial & Workshop Supplies///Tool Kits & Storage";"en";"B2B";"";"";"A"
"792";"Auto & Workshop Needs///Car Batteries & Tires";"en";"B2B";"";"";"A"
"793";"Auto & Workshop Needs///Engine Oils & Fluids";"en";"B2B";"";"";"A"
"794";"Auto & Workshop Needs///Car Cleaning Products";"en";"B2B";"";"";"A"
"795";"Auto & Workshop Needs///Spare Parts";"en";"B2B";"";"";"A"
"796";"Auto & Workshop Needs///Tools & Lifts";"en";"B2B";"";"";"A"
"797";"Cleaning & Maintenance///Floor & Surface Cleaners";"en";"B2B";"";"";"A"
"798";"Cleaning & Maintenance///Mops";"en";"B2B";"";"";"A"
"799";"Cleaning & Maintenance///Brooms & Buckets";"en";"B2B";"";"";"A"
"800";"Cleaning & Maintenance///Trash Bins & Bags";"en";"B2B";"";"";"A"
"801";"Cleaning & Maintenance///Air Fresheners";"en";"B2B";"";"";"A"
"802";"Cleaning & Maintenance///Bathroom Supplies";"en";"B2B";"";"";"A"
"803";"IT & Electronics///Laptops & Screens";"en";"B2B";"";"";"A"
"804";"IT & Electronics///Keyboards & Mice";"en";"B2B";"";"";"A"
"805";"IT & Electronics///Routers & Cables";"en";"B2B";"";"";"A"
"806";"IT & Electronics///Projectors & Accessories";"en";"B2B";"";"";"A"
"807";"IT & Electronics///CCTV & Security";"en";"B2B";"";"";"A"
"808";"Retail & Shop Supplies///Display Racks";"en";"B2B";"";"";"A"
"809";"Retail & Shop Supplies///Shopping Carts";"en";"B2B";"";"";"A"
"810";"Retail & Shop Supplies/// POS Systems";"en";"B2B";"";"";"A"
"811";"Retail & Shop Supplies///Labeling & Price Tags";"en";"B2B";"";"";"A"
"812";"Clinic & Medical Supplies///Gloves & Masks";"en";"B2B";"";"";"A"
"813";"Clinic & Medical Supplies/// Sanitizers & Cleaners";"en";"B2B";"";"";"A"
"814";"Clinic & Medical Supplies/// Basic Medical Tools";"en";"B2B";"";"";"A"
"815";"Clinic & Medical Supplies///Uniforms & Scrubs";"en";"B2B";"";"";"A"
"816";"Clinic & Medical Supplies/// Beds & Exam Tables";"en";"B2B";"";"";"A"
"292";"Paintings///Figurative / Portrait";"en";"Art";"";"";"A"
"293";"Paintings///Landscape & Nature";"en";"Art";"";"";"A"
"294";"Paintings///Islamic / Cultural";"en";"Art";"";"";"A"
"295";"Paintings///Minimalist / Geometric";"en";"Art";"";"";"A"
"296";"Paintings///Mixed Media";"en";"Art";"";"";"A"
"297";"Paintings///Expressionist";"en";"Art";"";"";"A"
"298";"Paintings///Still Life";"en";"Art";"";"";"A"
"299";"Paintings///Large Format";"en";"Art";"";"";"A"
"300";"Paintings///Miniature Paintings";"en";"Art";"";"";"A"
"301";"Paintings///Arabic Calligraphy";"en";"Art";"";"";"A"
"302";"Calligraphy///Modern Calligraphy";"en";"Art";"";"";"A"
"303";"Calligraphy///Islamic Verses";"en";"Art";"";"";"A"
"304";"Calligraphy///Contemporary Lettering";"en";"Art";"";"";"A"
"305";"Calligraphy///Hand-Engraved Calligraphy";"en";"Art";"";"";"A"
"306";"Calligraphy///Decorative Calligraphy Panels";"en";"Art";"";"";"A"
"307";"Calligraphy///3D Calligraphy Art";"en";"Art";"";"";"A"
"308";"Calligraphy///Limited Edition Calligraphy Prints";"en";"Art";"";"";"A"
"309";"Calligraphy///Canvas Prints";"en";"Art";"";"";"A"
"310";"Prints///Fine Art Prints";"en";"Art";"";"";"A"
"311";"Prints///Limited Edition Prints";"en";"Art";"";"";"A"
"312";"Prints///Poster Prints";"en";"Art";"";"";"A"
"313";"Prints///Framed Prints";"en";"Art";"";"";"A"
"314";"Prints///Digital Illustration Prints";"en";"Art";"";"";"A"
"315";"Prints///Typography & Quote Prints";"en";"Art";"";"";"A"
"316";"Prints///Photography Prints";"en";"Art";"";"";"A"
"317";"Prints///Black & White";"en";"Art";"";"";"A"
"318";"Photography///Urban & Street Life";"en";"Art";"";"";"A"
"319";"Photography///Portraits & People";"en";"Art";"";"";"A"
"320";"Photography///Landscape & Nature";"en";"Art";"";"";"A"
"321";"Photography///Architecture & Heritage";"en";"Art";"";"";"A"
"322";"Photography///Conceptual / Fine Art Photography";"en";"Art";"";"";"A"
"323";"Photography///Cultural Events & Moments";"en";"Art";"";"";"A"
"324";"Photography///Aerial / Drone Photography";"en";"Art";"";"";"A"
"325";"Sculpture///Wood Carving";"en";"Art";"";"";"A"
"326";"Sculpture///Stone / Marble";"en";"Art";"";"";"A"
"327";"Sculpture///Metal / Bronze";"en";"Art";"";"";"A"
"328";"Sculpture///Clay / Ceramic";"en";"Art";"";"";"A"
"329";"Sculpture///Mixed Material Sculptures";"en";"Art";"";"";"A"
"330";"Sculpture///Contemporary Installations";"en";"Art";"";"";"A"
"331";"Sculpture///Mini Sculptures";"en";"Art";"";"";"A"
"332";"Sculpture///Wall-Mounted Sculptures";"en";"Art";"";"";"A"
"333";"Sculpture///Floor or Garden Sculptures";"en";"Art";"";"";"A"
"334";"Drawings///Pencil / Graphite Drawings";"en";"Art";"";"";"A"
"335";"Drawings///Ink & Pen Work";"en";"Art";"";"";"A"
"336";"Drawings///Charcoal Sketches";"en";"Art";"";"";"A"
"337";"Drawings///Colored Pencil / Pastel Drawings";"en";"Art";"";"";"A"
"338";"Drawings///Minimal Line Art";"en";"Art";"";"";"A"
"339";"Drawings///Illustration-Style Drawings";"en";"Art";"";"";"A"
"340";"Drawings///Figure Studies & Anatomy";"en";"Art";"";"";"A"
"341";"Drawings///Abstract Sketches";"en";"Art";"";"";"A"
"342";"Handicraft///Embroidered Wall Art";"en";"Art";"";"";"A"
"343";"Handicraft///Hand-Painted Ceramics";"en";"Art";"";"";"A"
"344";"Handicraft///Mosaic & Tile-Inspired Art";"en";"Art";"";"";"A"
"345";"Handicraft///Woven Wall Hangings";"en";"Art";"";"";"A"
"346";"Handicraft///Handmade Art Frames";"en";"Art";"";"";"A"
"347";"Handicraft///Painted Pottery";"en";"Art";"";"";"A"
"348";"Handicraft///Wooden Calligraphy Decor";"en";"Art";"";"";"A"
"349";"Handicraft///Recycled Art & Eco Craft";"en";"Art";"";"";"A"
"350";"Handicraft///Heritage Craft Inspired";"en";"Art";"";"";"A"
"886";"Paintings///Abstract";"en";"Art";"";"";"A"
"887";"Calligraphy///Arabic Calligraphy";"en";"Art";"";"";"A"
"888";"Prints///Canvas Prints";"en";"Art";"";"";"A"
"889";"Photography///Black & White";"en";"Art";"";"";"A"
"893";"Plants & Flowers///Fresh Flowers";"en";"Is2or";"";"";"A"
"897";"Plants & Flowers///Potted Plants";"en";"Is2or";"";"";"A"
"902";"Plants & Flowers///Gardening Supplies";"en";"Is2or";"";"";"A"
"906";"Plants & Flowers///Seeds & Bulbs";"en";"Is2or";"";"";"A"
"907";"Plants & Flowers///Artificial Plants & Flowers";"en";"Is2or";"";"";"A"
"908";"Plants & Flowers///Gifts & Accessories";"en";"Is2or";"";"";"A"
"422";"Electronics & Digital///Digital Products///Ebooks";"en";"Is2or";"";"6.10";"A"
"423";"Electronics & Digital///Digital Products///Software";"en";"Is2or";"";"6.10";"A"
"424";"Electronics & Digital///Digital Products///Membership";"en";"Is2or";"";"6.10";"A"
"425";"Electronics & Digital///Digital Products///Audio books";"en";"Is2or";"";"6.10";"A"
"426";"Electronics & Digital///Electronics///Mobile Phones";"en";"Is2or";"";"5.60";"A"
"427";"Electronics & Digital///Electronics///Computers";"en";"Is2or";"";"5.00";"A"
"428";"Electronics & Digital///Electronics///Tablets & Accessories";"en";"Is2or";"";"5.60";"A"
"429";"Electronics & Digital///Electronics///Security & Surveillance";"en";"Is2or";"";"7.60";"A"
"430";"Electronics & Digital///Electronics///Wearables";"en";"Is2or";"";"7.30";"A"
"431";"Electronics & Digital///Electronics///Television";"en";"Is2or";"";"7.60";"A"
"433";"Electronics & Digital///Electronics///E-scooter";"en";"Is2or";"";"12.50";"A"
"434";"Electronics & Digital///Gaming///X-box";"en";"Is2or";"";"8.60";"A"
"435";"Electronics & Digital///Gaming///Playstation";"en";"Is2or";"";"8.60";"A"
"436";"Electronics & Digital///Gaming///Nintendo";"en";"Is2or";"";"8.60";"A"
"437";"Electronics & Digital///Gaming///PC gaming";"en";"Is2or";"";"8.60";"A"
"438";"Electronics & Digital///Gaming///Accessories";"en";"Is2or";"";"8.60";"A"
"443";"Fashion & Jewelry///Man///Clothes";"en";"Is2or";"";"13.90";"A"
"444";"Fashion & Jewelry///Man///Shoes";"en";"Is2or";"";"13.10";"A"
"445";"Fashion & Jewelry///Man///Accessories";"en";"Is2or";"";"14.80";"A"
"446";"Fashion & Jewelry///Woman///Clothes";"en";"Is2or";"";"13.90";"A"
"447";"Fashion & Jewelry///Woman///Hand Bag";"en";"Is2or";"";"14.30";"A"
"448";"Fashion & Jewelry///Woman///Shoes";"en";"Is2or";"";"13.10";"A"
"449";"Fashion & Jewelry///Woman///Wedding";"en";"Is2or";"";"14.80";"A"
"450";"Fashion & Jewelry///Woman///Traditional Costume";"en";"Is2or";"";"14.80";"A"
"451";"Fashion & Jewelry///Woman///Accessories";"en";"Is2or";"";"14.80";"A"
"452";"Fashion & Jewelry///Kids///Clothes";"en";"Is2or";"";"13.90";"A"
"453";"Fashion & Jewelry///Kids///Shoes";"en";"Is2or";"";"14.80";"A"
"454";"Fashion & Jewelry///Jewllery///Diamond";"en";"Is2or";"";"14.90";"A"
"455";"Fashion & Jewelry///Jewllery///Gold";"en";"Is2or";"";"14.90";"A"
"456";"Fashion & Jewelry///Jewllery///Silver";"en";"Is2or";"";"14.90";"A"
"457";"Fashion & Jewelry///Jewllery///Accessories";"en";"Is2or";"";"14.90";"A"
"460";"Sports & Hobbies///Sports///Camping";"en";"Is2or";"";"11.50";"A"
"461";"Sports & Hobbies///Sports///Beach & Pool";"en";"Is2or";"";"11.50";"A"
"462";"Sports & Hobbies///Sports///Sports";"en";"Is2or";"";"8.80";"A"
"463";"Sports & Hobbies///Sports///Pets";"en";"Is2or";"";"14.10";"A"
"464";"Sports & Hobbies///Sports///Gym Equipment";"en";"Is2or";"";"11.50";"A"
"465";"Sports & Hobbies///Sports///Biking & E-Bikes";"en";"Is2or";"";"11.50";"A"
"466";"Sports & Hobbies///Sports///Athletic Fashion";"en";"Is2or";"";"10.90";"A"
"467";"Sports & Hobbies///Sports///DIY";"en";"Is2or";"";"11.50";"A"
"468";"Sports & Hobbies///Sports///Fishing";"en";"Is2or";"";"11.50";"A"
"469";"Sports & Hobbies///Sports///Free Time";"en";"Is2or";"";"11.50";"A"
"470";"Sports & Hobbies///Toys///Plushies";"en";"Is2or";"";"12.00";"A"
"471";"Sports & Hobbies///Toys///Learning Sets";"en";"Is2or";"";"12.00";"A"
"472";"Sports & Hobbies///Toys///Remote Control Toys";"en";"Is2or";"";"12.00";"A"
"476";"Health & Beauty///Health///Food Supplements";"en";"Is2or";"";"8.20";"A"
"477";"Health & Beauty///Health///Diet meals";"en";"Is2or";"";"8.20";"A"
"478";"Health & Beauty///Beauty///Fragrance";"en";"Is2or";"";"9.90";"A"
"479";"Health & Beauty///Beauty///Pharmaceuticals";"en";"Is2or";"";"8.20";"A"
"480";"Health & Beauty///Beauty///Hair Care";"en";"Is2or";"";"9.90";"A"
"481";"Health & Beauty///Beauty///Personal Grooming";"en";"Is2or";"";"9.90";"A"
"482";"Health & Beauty///Beauty///Make up";"en";"Is2or";"";"10.30";"A"
"483";"Health & Beauty///Beauty///Medical Supplies";"en";"Is2or";"";"8.20";"A"
"487";"Home & Gardening///Home///Tools";"en";"Is2or";"";"10.30";"A"
"488";"Home & Gardening///Home///Furnitures";"en";"Is2or";"";"8.90";"A"
"489";"Home & Gardening///Home///Lighting";"en";"Is2or";"";"11.80";"A"
"490";"Home & Gardening///Home///Cleaning Products";"en";"Is2or";"";"14.40";"A"
"491";"Home & Gardening///Home///Kitchen Items";"en";"Is2or";"";"10.90";"A"
"492";"Home & Gardening///Home///Linen Items";"en";"Is2or";"";"10.30";"A"
"493";"Home & Gardening///Home///Security";"en";"Is2or";"";"12.00";"A"
"494";"Home & Gardening///Home///Bathroom Equipment";"en";"Is2or";"";"12.40";"A"
"495";"Home & Gardening///Home///Office Equipment";"en";"Is2or";"";"10.00";"A"
"496";"Home & Gardening///Home///Automations";"en";"Is2or";"";"14.40";"A"
"497";"Home & Gardening///Gardenin///Plants & Seeds";"en";"Is2or";"";"10.00";"A"
"498";"Home & Gardening///Gardenin///Tools";"en";"Is2or";"";"10.30";"A"
"499";"Home & Gardening///Home///Lawn Care";"en";"Is2or";"";"10.30";"A"
"500";"Home & Gardening///Gardenin///Furnitures";"en";"Is2or";"";"8.90";"A"
"501";"Home & Gardening///Gardenin///Lighting";"en";"Is2or";"";"11.10";"A"
"502";"Home & Gardening///Gardenin///Bathroom Equipment";"en";"Is2or";"";"12.40";"A"
"503";"Home & Gardening///Gardenin///Office Equipment";"en";"Is2or";"";"10.00";"A"
"507";"Fresh & Local///Homemade Meals///Main Dish";"en";"Is2or";"";"10.50";"A"
"508";"Fresh & Local///Homemade Meals///Classic Sweets";"en";"Is2or";"";"10.50";"A"
"509";"Fresh & Local///Fruits from farms///Dates";"en";"Is2or";"";"10.50";"A"
"510";"Fresh & Local///Fruits from farms///Honey";"en";"Is2or";"";"10.50";"A"
"511";"Fresh & Local///Fruits from farms///Ghee";"en";"Is2or";"";"10.50";"A"
"512";"Fresh & Local///Nuts & Spices///Mixed Nuts";"en";"Is2or";"";"10.50";"A"
"513";"Fresh & Local///Nuts & Spices///Spices";"en";"Is2or";"";"10.50";"A"
"516";"Supermarket///Wholesale & Bulk///Dairy";"en";"Is2or";"";"9.70";"A"
"517";"Supermarket///Wholesale & Bulk///Beverages";"en";"Is2or";"";"9.70";"A"
"518";"Supermarket///Wholesale & Bulk///Cleaning Products";"en";"Is2or";"";"10.00";"A"
"519";"Supermarket///Retail///Fruits & Vegetables";"en";"Is2or";"";"10.50";"A"
"520";"Supermarket///Retail///Cheese & Cold Cuts";"en";"Is2or";"";"10.50";"A"
"521";"Supermarket///Retail///Breakfast & Snacks";"en";"Is2or";"";"10.50";"A"
"522";"Supermarket///Retail///Packaged Products";"en";"Is2or";"";"10.50";"A"
"523";"Supermarket///Retail///Bakery";"en";"Is2or";"";"10.50";"A"
"524";"Supermarket///Retail///Dairy";"en";"Is2or";"";"10.50";"A"
"525";"Supermarket///Retail///Beverages";"en";"Is2or";"";"10.50";"A"
"526";"Supermarket///Retail///Cleaning Products";"en";"Is2or";"";"10.50";"A"
"527";"Supermarket///Retail///Household Products";"en";"Is2or";"";"12.00";"A"
"528";"Supermarket///Retail///Care And Hygiene";"en";"Is2or";"";"9.00";"A"
"529";"Supermarket///Retail///Clothing";"en";"Is2or";"";"13.90";"A"
