CategoryCode;CategoryPath;Language;Store;PageTitle;CategoryId;DateAdded;Status;Position;DetailedImageURL;Description;ProductDetailsView;UsergroupIds;MetaDescription;MetaKeywords;CategoryUrl;SeoName;Discussion;Vendor categories fee - Exclusive;Vendor categories fee - Default plan;Vendor categories fee - Bronze;Vendor categories fee - Free;Vendor categories fee - Silver;Vendor categories fee - Professional;Vendor categories fee - Gold;Vendor categories fee - Enterprise;Vendor categories fee - Platinum;Vendor categories fee - Corporate;Vendor categories fee - Custom;IsVirtual;VirtualConditions
"418";"Automotive";"en";"Is2or";"";"418";"21 Jan 2025 00:00:00";"A";"70";"";"";"default";"0";"";"";"https://is2or.com/automotive/";"automotive";"D";"11.50";"";"11.50";"";"11.50";"";"11.50";"";"11.50";"";"";"N";"{""set"":""all"",""set_value"":""1""}"
"";"السيارات";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"552";"Office Supplies";"en";"B2B";"";"552";"07 Apr 2025 00:00:00";"A";"100";"";"";"default";"0";"";"";"https://is2or.com/office-supplies/";"office-supplies";"D";"";"";"";"";"";"";"";"";"";"";"";"N";"{""set"":""all"",""set_value"":""1""}"
"";"مستلزمات المكاتب";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"553";"Building Materials & Tools";"en";"B2B";"Building Materials & Tools";"553";"07 Apr 2025 00:00:00";"A";"110";"";"";"default";"0";"";"";"https://is2or.com/building-materials-and-tools/";"building-materials-and-tools";"D";"";"";"";"";"";"";"";"";"";"";"";"N";"{""set"":""all"",""set_value"":""1""}"
"";"مواد وأدوات البناء";"ar";"";"مواد وأدوات البناء";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"554";"Packaging & Shipping";"en";"B2B";"Packaging & Shipping";"554";"07 Apr 2025 00:00:00";"A";"130";"";"";"default";"0";"";"";"https://is2or.com/packaging-and-shipping/";"packaging-and-shipping";"D";"";"";"";"";"";"";"";"";"";"";"";"N";"{""set"":""all"",""set_value"":""1""}"
"";"التغليف والشحن";"ar";"";"التغليف والشحن";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"555";"Safety Gear & PPE";"en";"B2B";"Safety Gear & PPE";"555";"07 Apr 2025 00:00:00";"A";"140";"";"";"default";"0";"";"";"https://is2or.com/safety-gear-and-ppe/";"safety-gear-and-ppe";"D";"";"";"";"";"";"";"";"";"";"";"";"N";"{""set"":""all"",""set_value"":""1""}"
"";"معدات السلامة والوقاية";"ar";"";"معدات السلامة والوقاية";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"556";"Electrical & Lighting";"en";"B2B";"Electrical & Lighting";"556";"07 Apr 2025 00:00:00";"A";"120";"";"";"default";"0";"";"";"https://is2or.com/electrical-and-lighting/";"electrical-and-lighting";"D";"";"";"";"";"";"";"";"";"";"";"";"N";"{""set"":""all"",""set_value"":""1""}"
"";"الكهرباء والإضاءة";"ar";"";"الكهرباء والإضاءة";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Marketplace fees";"en";"Store";"";"651";"";"H";"0";"";"";"";"0";"";"";"https://is2or.com/marketplace-fees-en/";"marketplace-fees-en";"";"";"";"";"";"";"";"";"";"";"";"";"N";""
"";"Marketplace fees";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Electronics & Technology";"en";"Store";"";"652";"16 May 2025 05:22:43";"A";"0";"https://is2or.com/images/detailed/13/ab-fn-542.png#{[ar]:;[en]:;}";"";"default";"0";"";"";"https://is2or.com/electronics-and-technology/";"electronics-and-technology";"D";"";"";"";"";"";"";"";"";"";"";"";"N";"{""set"":""all"",""set_value"":""1""}"
"";"الإلكترونيات والتكنولوجيا";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Home & Furniture";"en";"Store";"";"653";"16 May 2025 05:23:18";"A";"0";"https://is2or.com/images/detailed/13/BATHROOM.png#{[ar]:;[en]:;}";"";"default";"0";"";"";"https://is2or.com/home-and-furniture/";"home-and-furniture";"D";"";"";"";"";"";"";"";"";"";"";"";"N";"{""set"":""all"",""set_value"":""1""}"
"";"المنزل والأثاث";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Vehicles & Transportation";"en";"Store";"";"654";"16 May 2025 05:23:50";"A";"0";"https://is2or.com/images/detailed/13/www.dayspersonalchoice.webp#{[ar]:;[en]:;}";"";"default";"0";"";"";"https://is2or.com/vehicles-and-transportation/";"vehicles-and-transportation";"D";"";"";"";"";"";"";"";"";"";"";"";"N";"{""set"":""all"",""set_value"":""1""}"
"";"المركبات والنقل";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Fashion & Accessories";"en";"Store";"";"655";"16 May 2025 05:24:22";"A";"0";"https://is2or.com/images/detailed/13/portrait-young-stylish-girl-model-casual-summer-clothes-brown-hat-with-natural-makeup-isolated_15853.jpeg#{[ar]:;[en]:;}";"";"default";"0";"";"";"https://is2or.com/fashion-and-accessories/";"fashion-and-accessories";"D";"";"";"";"";"";"";"";"";"";"";"";"N";"{""set"":""all"",""set_value"":""1""}"
"";"الأزياء والإكسسوارات";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Sports & Fitness";"en";"Store";"";"656";"16 May 2025 05:25:02";"A";"0";"https://is2or.com/images/detailed/13/hermosa-mujer-deportiva-entrenamiento-pesas_176420-986.jpeg#{[ar]:;[en]:;}";"";"default";"0";"";"";"https://is2or.com/sports-and-fitness/";"sports-and-fitness";"D";"";"";"";"";"";"";"";"";"";"";"";"N";"{""set"":""all"",""set_value"":""1""}"
"";"الرياضة واللياقة البدنية";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Musical Instruments";"en";"Store";"";"657";"16 May 2025 05:25:34";"A";"0";"https://is2or.com/images/detailed/13/1_nqsijTJEMUAnLh4m1sATKQ.jpg#{[ar]:;[en]:;}";"";"default";"0";"";"";"https://is2or.com/musical-instruments/";"musical-instruments";"D";"";"";"";"";"";"";"";"";"";"";"";"N";"{""set"":""all"",""set_value"":""1""}"
"";"الآلات الموسيقية";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Kids & Baby";"en";"Store";"";"658";"16 May 2025 05:26:01";"A";"0";"https://is2or.com/images/detailed/13/161007-kids-playing-png-free-photo.png#{[ar]:;[en]:;}";"";"default";"0";"";"";"https://is2or.com/kids-and-baby/";"kids-and-baby";"D";"";"";"";"";"";"";"";"";"";"";"";"N";"{""set"":""all"",""set_value"":""1""}"
"";"الأطفال والرضع";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Books & Media";"en";"Store";"";"659";"16 May 2025 00:00:00";"A";"0";"https://is2or.com/images/detailed/13/npr.brightspotcdn.jpg#{[ar]:;[en]:;}";"";"default";"0";"";"";"https://is2or.com/books-and-media/";"books-and-media";"D";"";"";"";"";"";"";"";"";"";"";"";"N";"{""set"":""all"",""set_value"":""1""}"
"";"الكتب والوسائط";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Tools & Industrial";"en";"Store";"";"660";"16 May 2025 05:26:38";"A";"0";"https://is2or.com/images/detailed/13/hkthp20771-8-1000x765.jpg#{[ar]:;[en]:;}";"";"default";"0";"";"";"https://is2or.com/tools-and-industrial/";"tools-and-industrial";"D";"";"";"";"";"";"";"";"";"";"";"";"N";"{""set"":""all"",""set_value"":""1""}"
"";"الأدوات والصناعية";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Collectibles & Art";"en";"Store";"";"661";"16 May 2025 05:27:09";"A";"0";"https://is2or.com/images/detailed/13/083676b27eaaa075a38af77a2861831e.jpg#{[ar]:;[en]:;}";"";"default";"0";"";"";"https://is2or.com/collectibles-and-art/";"collectibles-and-art";"D";"";"";"";"";"";"";"";"";"";"";"";"N";"{""set"":""all"",""set_value"":""1""}"
"";"المقتنيات والفنون";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Products without category";"en";"Store";"";"662";"";"H";"0";"";"";"";"0";"";"";"https://is2or.com/products-without-category/";"products-without-category";"";"";"";"";"";"";"";"";"";"";"";"";"N";""
"";"المنتجات بدون فئة";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"94";"AB: Phones";"en";"Store";"";"663";"";"H";"0";"";"";"";"0";"";"";"https://is2or.com/ab-phones/";"ab-phones";"";"";"";"";"";"";"";"";"";"";"";"";"N";""
"";"AB: Phones";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"95";"AB: Laptops";"en";"Store";"";"664";"";"H";"0";"";"";"";"0";"";"";"https://is2or.com/ab-laptops/";"ab-laptops";"";"";"";"";"";"";"";"";"";"";"";"";"N";""
"";"AB: Laptops";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"774";"Restaurant & Hotel Supplies";"en";"B2B";"Restaurant & Hotel Supplies";"774";"22 May 2025 00:00:00";"A";"150";"";"";"default";"0";"";"";"https://is2or.com/restaurant-and-hotel-supplies/";"restaurant-and-hotel-supplies";"D";"";"";"";"";"";"";"";"";"";"";"";"N";"{""set"":""all"",""set_value"":""1""}"
"";"مستلزمات المطاعم والفنادق";"ar";"";"مستلزمات المطاعم والفنادق";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"775";"Industrial & Workshop Supplies";"en";"B2B";"Industrial & Workshop Supplies";"775";"22 May 2025 00:00:00";"A";"160";"";"";"default";"0";"";"";"https://is2or.com/industrial-and-workshop-supplies/";"industrial-and-workshop-supplies";"D";"";"";"";"";"";"";"";"";"";"";"";"N";"{""set"":""all"",""set_value"":""1""}"
"";"مستلزمات المصانع والورش";"ar";"";"مستلزمات المصانع والورش";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"776";"Auto & Workshop Needs";"en";"B2B";"Auto & Workshop Needs";"776";"22 May 2025 00:00:00";"A";"170";"";"";"default";"0";"";"";"https://is2or.com/auto-and-workshop-needs/";"auto-and-workshop-needs";"D";"";"";"";"";"";"";"";"";"";"";"";"N";"{""set"":""all"",""set_value"":""1""}"
"";"مستلزمات السيارات والورش";"ar";"";"مستلزمات السيارات والورش";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"777";"Cleaning & Maintenance";"en";"B2B";"Cleaning & Maintenance";"777";"22 May 2025 00:00:00";"A";"180";"";"";"default";"0";"";"";"https://is2or.com/cleaning-and-maintenance/";"cleaning-and-maintenance";"D";"";"";"";"";"";"";"";"";"";"";"";"N";"{""set"":""all"",""set_value"":""1""}"
"";"التنظيف والصيانة";"ar";"";"التنظيف والصيانة";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"778";"IT & Electronics";"en";"B2B";"IT & Electronics";"778";"22 May 2025 00:00:00";"A";"190";"";"";"default";"0";"";"";"https://is2or.com/it-and-electronics/";"it-and-electronics";"D";"";"";"";"";"";"";"";"";"";"";"";"N";"{""set"":""all"",""set_value"":""1""}"
"";"أجهزة إلكترونية وتقنية";"ar";"";"IT & Electronics";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"779";"Retail & Shop Supplies";"en";"B2B";"Retail & Shop Supplies";"779";"22 May 2025 00:00:00";"A";"200";"";"";"default";"0";"";"";"https://is2or.com/retail-and-shop-supplies/";"retail-and-shop-supplies";"D";"";"";"";"";"";"";"";"";"";"";"";"N";"{""set"":""all"",""set_value"":""1""}"
"";"مستلزمات المحلات والمتاجر";"ar";"";"Retail & Shop Supplies";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"780";"Clinic & Medical Supplies";"en";"B2B";"Clinic & Medical Supplies";"780";"22 May 2025 00:00:00";"A";"210";"";"";"default";"0";"";"";"https://is2or.com/clinic-and-medical-supplies/";"clinic-and-medical-supplies";"D";"";"";"";"";"";"";"";"";"";"";"";"N";"{""set"":""all"",""set_value"":""1""}"
"";"مستلزمات العيادات والطب";"ar";"";"Clinic & Medical Supplies";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"817";"Paintings";"en";"Art";"";"817";"01 Jul 2025 00:00:00";"A";"220";"";"";"default";"0";"";"";"https://is2or.com/paintings/";"paintings";"D";"";"";"";"";"";"";"";"";"";"";"";"N";"{""set"":""all"",""set_value"":""1""}"
"";"لوحات";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"818";"Calligraphy";"en";"Art";"";"818";"01 Jul 2025 00:00:00";"A";"230";"";"";"default";"0";"";"";"https://is2or.com/calligraphy/";"calligraphy";"D";"";"";"";"";"";"";"";"";"";"";"";"N";"{""set"":""all"",""set_value"":""1""}"
"";"الخط";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"819";"Prints";"en";"Art";"";"819";"01 Jul 2025 00:00:00";"A";"240";"";"";"default";"0";"";"";"https://is2or.com/prints/";"prints";"D";"";"";"";"";"";"";"";"";"";"";"";"N";"{""set"":""all"",""set_value"":""1""}"
"";"مطبوعات";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"820";"Photography";"en";"Art";"";"820";"01 Jul 2025 00:00:00";"A";"250";"";"";"default";"0";"";"";"https://is2or.com/photography/";"photography";"D";"";"";"";"";"";"";"";"";"";"";"";"N";"{""set"":""all"",""set_value"":""1""}"
"";"التصوير الفوتوغرافي";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"821";"Sculpture";"en";"Art";"";"821";"01 Jul 2025 00:00:00";"A";"260";"";"";"default";"0";"";"";"https://is2or.com/sculpture/";"sculpture";"D";"";"";"";"";"";"";"";"";"";"";"";"N";"{""set"":""all"",""set_value"":""1""}"
"";"النحت";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"822";"Drawings";"en";"Art";"";"822";"01 Jul 2025 00:00:00";"A";"270";"";"";"default";"0";"";"";"https://is2or.com/drawings/";"drawings";"D";"";"";"";"";"";"";"";"";"";"";"";"N";"{""set"":""all"",""set_value"":""1""}"
"";"الرسومات";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"823";"Handicraft";"en";"Art";"";"823";"01 Jul 2025 00:00:00";"A";"280";"";"";"default";"0";"";"";"https://is2or.com/handicraft/";"handicraft";"D";"";"";"";"";"";"";"";"";"";"";"";"N";"{""set"":""all"",""set_value"":""1""}"
"";"الحرف اليدوية";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"892";"Plants & Flowers";"en";"Is2or";"";"892";"14 Aug 2025 00:00:00";"A";"290";"";"";"default";"0";"";"";"https://is2or.com/plants-and-flowers/";"plants-and-flowers";"D";"";"";"";"";"";"";"";"";"";"";"";"N";"{""set"":""all"",""set_value"":""1""}"
"";"Plants & Flowers";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"419";"Electronics & Digital Products///Digital Products";"en";"Is2or";"";"419";"21 Jan 2025 00:00:00";"A";"10";"";"";"default";"0";"";"";"https://is2or.com/electronics/digital-products/";"digital-products";"D";"6.10";"";"6.10";"";"6.10";"";"6.10";"";"6.10";"";"";"N";""
"";"الإلكترونيات والمنتجات الرقمية///المنتجات الرقمية";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"420";"Electronics & Digital Products///Electronics";"en";"Is2or";"";"420";"21 Jan 2025 00:00:00";"A";"20";"";"";"default";"0";"";"";"https://is2or.com/electronics/electronics/";"electronics";"D";"12.50";"";"12.50";"";"12.50";"";"12.50";"";"12.50";"";"";"N";""
"";"الإلكترونيات والمنتجات الرقمية///الإلكترونيات";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"421";"Electronics & Digital Products///Gaming";"en";"Is2or";"";"421";"21 Jan 2025 00:00:00";"A";"30";"";"";"default";"0";"";"";"https://is2or.com/electronics/gaming/";"gaming";"D";"8.60";"";"8.60";"";"8.60";"";"8.60";"";"8.60";"";"";"N";""
"";"الإلكترونيات والمنتجات الرقمية///ألعاب إلكترونية";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"439";"Fashion & Jewelry///Man";"en";"Is2or";"";"439";"21 Jan 2025 00:00:00";"A";"10";"";"";"default";"0";"";"";"https://is2or.com/fashion-and-jewelry/man/";"man";"D";"14.80";"";"14.80";"";"14.80";"";"14.80";"";"14.80";"";"";"N";""
"";"الأزياء والمجوهرات///الرجل";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"440";"Fashion & Jewelry///Woman";"en";"Is2or";"";"440";"21 Jan 2025 00:00:00";"A";"20";"";"";"default";"0";"";"";"https://is2or.com/fashion-and-jewelry/woman/";"woman";"D";"14.80";"";"14.80";"";"14.80";"";"14.80";"";"14.80";"";"";"N";""
"";"الأزياء والمجوهرات///المرأة";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"441";"Fashion & Jewelry///Kids";"en";"Is2or";"";"441";"21 Jan 2025 00:00:00";"A";"30";"";"";"default";"0";"";"";"https://is2or.com/fashion-and-jewelry/kids/";"kids";"D";"14.80";"";"14.80";"";"14.80";"";"14.80";"";"14.80";"";"";"N";""
"";"الأزياء والمجوهرات///الأطفال";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"442";"Fashion & Jewelry///Jewllery";"en";"Is2or";"";"442";"21 Jan 2025 00:00:00";"A";"40";"";"";"default";"0";"";"";"https://is2or.com/fashion-and-jewelry/jewllery/";"jewllery";"D";"14.90";"";"14.90";"";"14.90";"";"14.90";"";"14.90";"";"";"N";""
"";"الأزياء والمجوهرات///المجوهرات";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"458";"Sports & Hobbies///Sports";"en";"Is2or";"";"458";"21 Jan 2025 00:00:00";"A";"10";"";"";"default";"0";"";"";"https://is2or.com/sports-and-hobbies/sports/";"sports";"D";"11.50";"";"11.50";"";"11.50";"";"11.50";"";"11.50";"";"";"N";""
"";"الأزياء الرياضية///الرياضة";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"459";"Sports & Hobbies///Toys";"en";"Is2or";"";"459";"21 Jan 2025 00:00:00";"A";"20";"";"";"default";"0";"";"";"https://is2or.com/sports-and-hobbies/toys/";"toys";"D";"12.00";"";"12.00";"";"12.00";"";"12.00";"";"12.00";"";"";"N";""
"";"الأزياء الرياضية///الألعاب";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"474";"Health & Beauty///Health";"en";"Is2or";"";"474";"21 Jan 2025 00:00:00";"A";"10";"";"";"default";"0";"";"";"https://is2or.com/heath-and-beauty/health/";"health";"D";"8.20";"";"8.20";"";"8.20";"";"8.20";"";"8.20";"";"";"N";""
"";"الصحة والجمال///الصحة";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"475";"Health & Beauty///Beauty";"en";"Is2or";"";"475";"21 Jan 2025 00:00:00";"A";"20";"";"";"default";"0";"";"";"https://is2or.com/heath-and-beauty/beauty/";"beauty";"D";"8.20";"";"8.20";"";"8.20";"";"8.20";"";"8.20";"";"";"N";""
"";"الصحة والجمال///الجمال";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"484";"Home & Gardening///Home";"en";"Is2or";"";"484";"21 Jan 2025 00:00:00";"A";"10";"";"";"default";"0";"";"";"https://is2or.com/home-and-gradening/home/";"home";"D";"14.40";"";"14.40";"";"14.40";"";"14.40";"";"14.40";"";"";"N";""
"";"المنزل والحدائق///المنزل";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"485";"Home & Gardening///Gardenin";"en";"Is2or";"";"485";"21 Jan 2025 00:00:00";"A";"20";"";"";"default";"0";"";"";"https://is2or.com/home-and-gradening/gardenin/";"gardenin";"D";"10.00";"";"10.00";"";"10.00";"";"10.00";"";"10.00";"";"";"N";""
"";"المنزل والحدائق///الحدائق";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"504";"Fresh & Local///Homemade Meals";"en";"Is2or";"";"504";"21 Jan 2025 00:00:00";"A";"10";"";"";"default";"0";"";"";"https://is2or.com/fresh-and-local/homemade-meals/";"homemade-meals";"D";"10.50";"";"10.50";"";"10.50";"";"10.50";"";"10.50";"";"";"N";""
"";"منتجات طازجة ومحلية///وجبات منزلية";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"505";"Fresh & Local///Fruits from farms";"en";"Is2or";"";"505";"21 Jan 2025 00:00:00";"A";"20";"";"";"default";"0";"";"";"https://is2or.com/fresh-and-local/fruits-from-farms/";"fruits-from-farms";"D";"10.50";"";"10.50";"";"10.50";"";"10.50";"";"10.50";"";"";"N";""
"";"منتجات طازجة ومحلية///فواكه من المزارع";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"506";"Fresh & Local///Nuts & Spices";"en";"Is2or";"";"506";"21 Jan 2025 00:00:00";"A";"30";"";"";"default";"0";"";"";"https://is2or.com/fresh-and-local/nuts-and-spices/";"nuts-and-spices";"D";"10.50";"";"10.50";"";"10.50";"";"10.50";"";"10.50";"";"";"N";""
"";"منتجات طازجة ومحلية///المكسرات والتوابل";"ar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
