CategoryCode;CategoryPath;Language;Store
"39";"Vehicles & Transportation///Motorcycles";"en";"Store"
"40";"Vehicles & Transportation///Bicycles";"en";"Store"
"41";"Vehicles & Transportation///Auto Parts";"en";"Store"
"42";"Vehicles & Transportation///Car Electronics";"en";"Store"
"43";"Vehicles & Transportation///Tires & Wheels";"en";"Store"
"44";"Vehicles & Transportation///Marine Equipment";"en";"Store"
"45";"Vehicles & Transportation///Vehicle Accessories";"en";"Store"
"46";"Fashion & Accessories///Designer Clothing";"en";"Store"
"47";"Fashion & Accessories///Luxury Bags";"en";"Store"
"48";"Fashion & Accessories///Watches";"en";"Store"
"49";"Fashion & Accessories///Jewelry";"en";"Store"
"50";"Fashion & Accessories///Shoes";"en";"Store"
"51";"Fashion & Accessories///Vintage Clothing";"en";"Store"
"52";"Fashion & Accessories///Accessories";"en";"Store"
"53";"Fashion & Accessories///Designer Sunglasses";"en";"Store"
"54";"Sports & Fitness///Exercise Equipment";"en";"Store"
"55";"Sports & Fitness///Sports Gear";"en";"Store"
"56";"Sports & Fitness///Camping Equipment";"en";"Store"
"57";"Sports & Fitness///Bicycles & Accessories";"en";"Store"
"58";"Sports & Fitness///Golf Equipment";"en";"Store"
"59";"Sports & Fitness///Fitness Trackers";"en";"Store"
"60";"Sports & Fitness///Gym Equipment";"en";"Store"
"61";"Sports & Fitness///Water Sports Equipment";"en";"Store"
"62";"Musical Instruments///Guitars";"en";"Store"
"63";"Musical Instruments///Pianos & Keyboards";"en";"Store"
"64";"Musical Instruments///Drums & Percussion";"en";"Store"
"65";"Musical Instruments///DJ Equipment";"en";"Store"
"66";"Musical Instruments///Studio Equipment";"en";"Store"
"67";"Musical Instruments///Wind Instruments";"en";"Store"
"68";"Musical Instruments///String Instruments";"en";"Store"
"69";"Musical Instruments///Music Accessories";"en";"Store"
"70";"Kids & Baby///Toys & Games";"en";"Store"
"71";"Kids & Baby///Baby Gear";"en";"Store"
"72";"Kids & Baby///Children's Furniture";"en";"Store"
"73";"Kids & Baby///School Supplies";"en";"Store"
"74";"Kids & Baby///Kids' Electronics";"en";"Store"
"75";"Kids & Baby///Baby Clothes";"en";"Store"
"76";"Kids & Baby///Strollers & Car Seats";"en";"Store"
"77";"Kids & Baby///Educational Materials";"en";"Store"
"78";"Tools & Industrial///Power Tools";"en";"Store"
"79";"Tools & Industrial///Hand Tools";"en";"Store"
"80";"Tools & Industrial///Construction Equipment";"en";"Store"
"81";"Tools & Industrial///Workshop Equipment";"en";"Store"
"82";"Tools & Industrial///Garden Tools";"en";"Store"
"83";"Tools & Industrial///Industrial Machinery";"en";"Store"
"84";"Tools & Industrial///Safety Equipment";"en";"Store"
"85";"Tools & Industrial///Testing Equipment";"en";"Store"
"86";"Collectibles & Art///Antiques";"en";"Store"
"87";"Collectibles & Art///Art Pieces";"en";"Store"
"88";"Collectibles & Art///Stamps";"en";"Store"
"89";"Collectibles & Art///Coins";"en";"Store"
"90";"Collectibles & Art///Trading Cards";"en";"Store"
"91";"Collectibles & Art///Memorabilia";"en";"Store"
"92";"Collectibles & Art///Vintage Items";"en";"Store"
"93";"Collectibles & Art///Limited Edition Items";"en";"Store"
"745";"Office Supplies///Paper & Stationery";"en";"B2B"
"746";"Office Supplies///Printers & Accessories";"en";"B2B"
"747";"Office Supplies///Office Furniture";"en";"B2B"
"748";"Office Supplies///Ink & Toner";"en";"B2B"
"749";"Office Supplies///Pantry & Breakroom Items";"en";"B2B"
"750";"Office Supplies///Cleaning Products";"en";"B2B"
"751";"Building Materials & Tools///Cement";"en";"B2B"
"752";"Building Materials & Tools///Bricks & Blocks";"en";"B2B"
"753";"Building Materials & Tools///Steel & Metal";"en";"B2B"
"754";"Building Materials & Tools///Paint & Adhesives";"en";"B2B"
"755";"Building Materials & Tools///Plumbing Supplies";"en";"B2B"
"756";"Building Materials & Tools///Doors & Windows";"en";"B2B"
"757";"Building Materials & Tools///Tools & Hardware";"en";"B2B"
"758";"Electrical & Lighting///Wires & Cables";"en";"B2B"
"759";"Electrical & Lighting///Switches & Plugs";"en";"B2B"
"760";"Electrical & Lighting///Indoor & Outdoor Lights";"en";"B2B"
"761";"Electrical & Lighting///Batteries & Chargers";"en";"B2B"
"762";"Electrical & Lighting///Fans & Ventilation";"en";"B2B"
"763";"Packaging & Shipping///Boxes & Cartons";"en";"B2B"
"764";"Packaging & Shipping///Tape & Wraps";"en";"B2B"
"765";"Packaging & Shipping///Bubble Wrap & Fillers";"en";"B2B"
"766";"Packaging & Shipping///Labels & Stickers";"en";"B2B"
"767";"Packaging & Shipping///Pallets & Containers";"en";"B2B"
"768";"Safety Gear & PPE///Helmets & Headgear";"en";"B2B"
"769";"Safety Gear & PPE///Gloves";"en";"B2B"
"770";"Safety Gear & PPE///Safety Glasses";"en";"B2B"
"771";"Safety Gear & PPE///Work Boots";"en";"B2B"
"772";"Safety Gear & PPE///Masks & Respirators";"en";"B2B"
"773";"Safety Gear & PPE///Fire Safety & First Aid";"en";"B2B"
"781";"Restaurant & Hotel Supplies///Disposable Items";"en";"B2B"
"782";"Restaurant & Hotel Supplies///Kitchen Equipment";"en";"B2B"
"783";"Restaurant & Hotel Supplies///Cookware & Tools";"en";"B2B"
"784";"Restaurant & Hotel Supplies///Food Storage";"en";"B2B"
"785";"Restaurant & Hotel Supplies///Tableware & Serving";"en";"B2B"
"786";"Restaurant & Hotel Supplies///Cleaning & Hygiene";"en";"B2B"
"787";"Industrial & Workshop Supplies///Lubricants & Fluids";"en";"B2B"
"788";"Industrial & Workshop Supplies///Welding & Repair Tools";"en";"B2B"
"789";"Industrial & Workshop Supplies///Compressors & Pumps";"en";"B2B"
"790";"Industrial & Workshop Supplies///Ladders & Platforms";"en";"B2B"
"791";"Industrial & Workshop Supplies///Tool Kits & Storage";"en";"B2B"
"792";"Auto & Workshop Needs///Car Batteries & Tires";"en";"B2B"
"793";"Auto & Workshop Needs///Engine Oils & Fluids";"en";"B2B"
"794";"Auto & Workshop Needs///Car Cleaning Products";"en";"B2B"
"795";"Auto & Workshop Needs///Spare Parts";"en";"B2B"
"796";"Auto & Workshop Needs///Tools & Lifts";"en";"B2B"
"797";"Cleaning & Maintenance///Floor & Surface Cleaners";"en";"B2B"
"798";"Cleaning & Maintenance///Mops";"en";"B2B"
"799";"Cleaning & Maintenance///Brooms & Buckets";"en";"B2B"
"800";"Cleaning & Maintenance///Trash Bins & Bags";"en";"B2B"
"801";"Cleaning & Maintenance///Air Fresheners";"en";"B2B"
"802";"Cleaning & Maintenance///Bathroom Supplies";"en";"B2B"
"803";"IT & Electronics///Laptops & Screens";"en";"B2B"
"804";"IT & Electronics///Keyboards & Mice";"en";"B2B"
"805";"IT & Electronics///Routers & Cables";"en";"B2B"
"806";"IT & Electronics///Projectors & Accessories";"en";"B2B"
"807";"IT & Electronics///CCTV & Security";"en";"B2B"
"808";"Retail & Shop Supplies///Display Racks";"en";"B2B"
"809";"Retail & Shop Supplies///Shopping Carts";"en";"B2B"
"810";"Retail & Shop Supplies/// POS Systems";"en";"B2B"
"811";"Retail & Shop Supplies///Labeling & Price Tags";"en";"B2B"
"812";"Clinic & Medical Supplies///Gloves & Masks";"en";"B2B"
"813";"Clinic & Medical Supplies/// Sanitizers & Cleaners";"en";"B2B"
"814";"Clinic & Medical Supplies/// Basic Medical Tools";"en";"B2B"
"815";"Clinic & Medical Supplies///Uniforms & Scrubs";"en";"B2B"
"816";"Clinic & Medical Supplies/// Beds & Exam Tables";"en";"B2B"
"292";"Paintings///Figurative / Portrait";"en";"Art"
"293";"Paintings///Landscape & Nature";"en";"Art"
"294";"Paintings///Islamic / Cultural";"en";"Art"
"295";"Paintings///Minimalist / Geometric";"en";"Art"
"296";"Paintings///Mixed Media";"en";"Art"
"297";"Paintings///Expressionist";"en";"Art"
"298";"Paintings///Still Life";"en";"Art"
"299";"Paintings///Large Format";"en";"Art"
"300";"Paintings///Miniature Paintings";"en";"Art"
"301";"Paintings///Arabic Calligraphy";"en";"Art"
"302";"Calligraphy///Modern Calligraphy";"en";"Art"
"303";"Calligraphy///Islamic Verses";"en";"Art"
"304";"Calligraphy///Contemporary Lettering";"en";"Art"
"305";"Calligraphy///Hand-Engraved Calligraphy";"en";"Art"
"306";"Calligraphy///Decorative Calligraphy Panels";"en";"Art"
"307";"Calligraphy///3D Calligraphy Art";"en";"Art"
"308";"Calligraphy///Limited Edition Calligraphy Prints";"en";"Art"
"309";"Calligraphy///Canvas Prints";"en";"Art"
"310";"Prints///Fine Art Prints";"en";"Art"
"311";"Prints///Limited Edition Prints";"en";"Art"
"312";"Prints///Poster Prints";"en";"Art"
"313";"Prints///Framed Prints";"en";"Art"
"314";"Prints///Digital Illustration Prints";"en";"Art"
"315";"Prints///Typography & Quote Prints";"en";"Art"
"316";"Prints///Photography Prints";"en";"Art"
"317";"Prints///Black & White";"en";"Art"
"318";"Photography///Urban & Street Life";"en";"Art"
"319";"Photography///Portraits & People";"en";"Art"
"320";"Photography///Landscape & Nature";"en";"Art"
"321";"Photography///Architecture & Heritage";"en";"Art"
"322";"Photography///Conceptual / Fine Art Photography";"en";"Art"
"323";"Photography///Cultural Events & Moments";"en";"Art"
"324";"Photography///Aerial / Drone Photography";"en";"Art"
"325";"Sculpture///Wood Carving";"en";"Art"
"326";"Sculpture///Stone / Marble";"en";"Art"
"327";"Sculpture///Metal / Bronze";"en";"Art"
"328";"Sculpture///Clay / Ceramic";"en";"Art"
"329";"Sculpture///Mixed Material Sculptures";"en";"Art"
"330";"Sculpture///Contemporary Installations";"en";"Art"
"331";"Sculpture///Mini Sculptures";"en";"Art"
"332";"Sculpture///Wall-Mounted Sculptures";"en";"Art"
"333";"Sculpture///Floor or Garden Sculptures";"en";"Art"
"334";"Drawings///Pencil / Graphite Drawings";"en";"Art"
"335";"Drawings///Ink & Pen Work";"en";"Art"
"336";"Drawings///Charcoal Sketches";"en";"Art"
"337";"Drawings///Colored Pencil / Pastel Drawings";"en";"Art"
"338";"Drawings///Minimal Line Art";"en";"Art"
"339";"Drawings///Illustration-Style Drawings";"en";"Art"
"340";"Drawings///Figure Studies & Anatomy";"en";"Art"
"341";"Drawings///Abstract Sketches";"en";"Art"
"342";"Handicraft///Embroidered Wall Art";"en";"Art"
"343";"Handicraft///Hand-Painted Ceramics";"en";"Art"
"344";"Handicraft///Mosaic & Tile-Inspired Art";"en";"Art"
"345";"Handicraft///Woven Wall Hangings";"en";"Art"
"346";"Handicraft///Handmade Art Frames";"en";"Art"
"347";"Handicraft///Painted Pottery";"en";"Art"
"348";"Handicraft///Wooden Calligraphy Decor";"en";"Art"
"349";"Handicraft///Recycled Art & Eco Craft";"en";"Art"
"350";"Handicraft///Heritage Craft Inspired";"en";"Art"
"886";"Paintings///Abstract";"en";"Art"
"887";"Calligraphy///Arabic Calligraphy";"en";"Art"
"888";"Prints///Canvas Prints";"en";"Art"
"889";"Photography///Black & White";"en";"Art"
"893";"Plants & Flowers///Fresh Flowers";"en";"Is2or"
"897";"Plants & Flowers///Potted Plants";"en";"Is2or"
"902";"Plants & Flowers///Gardening Supplies";"en";"Is2or"
"906";"Plants & Flowers///Seeds & Bulbs";"en";"Is2or"
"907";"Plants & Flowers///Artificial Plants";"en";"Is2or"
"908";"Plants & Flowers///Gifts & Accessories";"en";"Is2or"
"960";"Electronics & Digital///Laptop, Computer, Accessories";"en";"Is2or"
"961";"Electronics & Digital///Mobile Phone, Tablet, Gadget Accessories";"en";"Is2or"
"1005";"Sports & Hobbies///Hobbies";"en";"Is2or"
"1013";"Home & Living///Furnitures";"en";"Is2or"
"1014";"Home & Living///Decorations";"en";"Is2or"
"1015";"Home & Living///Kitchen & Dining";"en";"Is2or"
"1016";"Home & Living///Bedding & Bath";"en";"Is2or"
"1017";"Home & Living///Storage & Organizers";"en";"Is2or"
"1018";"Home & Living///Cleaning";"en";"Is2or"
"1019";"Home & Living///Lighting";"en";"Is2or"
"1020";"Home & Living///Outdoor Living";"en";"Is2or"
"1021";"Home & Living///Home Textiles";"en";"Is2or"
"1060";"Home & Living///Home Improvements";"en";"Is2or"
"1071";"Fashion & Jewelry///Accessories";"en";"Is2or"
"1079";"Automotive & Travel///Travelling";"en";"Is2or"
"1094";"Home & Living///Office & Stationery";"en";"Is2or"
"1098";"Electronics & Digital///Camera, Video, Studio Equipments";"en";"Is2or"
"422";"Electronics & Digital///E-Books, Software, Digital Products///Ebooks";"en";"Is2or"
"423";"Electronics & Digital///E-Books, Software, Digital Products///Software";"en";"Is2or"
"424";"Electronics & Digital///E-Books, Software, Digital Products///Membership";"en";"Is2or"
"425";"Electronics & Digital///E-Books, Software, Digital Products///Audio books";"en";"Is2or"
"426";"Electronics & Digital///Mobile Phone, Tablet, Gadget Accessories///Mobile Phones";"en";"Is2or"
"427";"Electronics & Digital///Laptop, Computer, Accessories///Computers";"en";"Is2or"
"428";"Electronics & Digital///Mobile Phone, Tablet, Gadget Accessories///Tablets";"en";"Is2or"
"429";"Electronics & Digital///Home Electronics & Appliances///Security & Surveillance";"en";"Is2or"
"430";"Electronics & Digital///Mobile Phone, Tablet, Gadget Accessories///Wearables";"en";"Is2or"
"431";"Electronics & Digital///Home Electronics & Appliances///Television";"en";"Is2or"
"433";"Electronics & Digital///Home Electronics & Appliances///E-Scooter";"en";"Is2or"
"434";"Electronics & Digital///Video Game, Gaming Console & Accessories///X-box";"en";"Is2or"
"435";"Electronics & Digital///Video Game, Gaming Console & Accessories///Playstation";"en";"Is2or"
"436";"Electronics & Digital///Video Game, Gaming Console & Accessories///Nintendo";"en";"Is2or"
"437";"Electronics & Digital///Laptop, Computer, Accessories///Gaming PC";"en";"Is2or"
"438";"Electronics & Digital///Video Game, Gaming Console & Accessories///Accessories";"en";"Is2or"
"443";"Fashion & Jewelry///Men///Men Shirts";"en";"Is2or"
"444";"Fashion & Jewelry///Men///Men Shoes";"en";"Is2or"
"446";"Fashion & Jewelry///Women///Shirts & Blouse";"en";"Is2or"
"447";"Fashion & Jewelry///Women///Hand Bag";"en";"Is2or"
"448";"Fashion & Jewelry///Women///Women Shoes";"en";"Is2or"
"449";"Fashion & Jewelry///Women///Wedding";"en";"Is2or"
"450";"Fashion & Jewelry///Women///Women Traditional Clothes";"en";"Is2or"
"452";"Fashion & Jewelry///Kids///Shirts";"en";"Is2or"
"453";"Fashion & Jewelry///Kids///Shoes";"en";"Is2or"
"454";"Fashion & Jewelry///Jewelry///Diamond";"en";"Is2or"
"455";"Fashion & Jewelry///Jewelry///Gold";"en";"Is2or"
"456";"Fashion & Jewelry///Jewelry///Silver";"en";"Is2or"
"457";"Fashion & Jewelry///Jewelry///Accessories";"en";"Is2or"
"460";"Sports & Hobbies///Hobbies///Camping";"en";"Is2or"
"461";"Sports & Hobbies///Sports///Swimwear";"en";"Is2or"
"462";"Sports & Hobbies///Sports///Sport Equipment";"en";"Is2or"
"464";"Sports & Hobbies///Sports///Footwear";"en";"Is2or"
"465";"Sports & Hobbies///Sports///Accessories";"en";"Is2or"
"466";"Sports & Hobbies///Sports///Sport Apparel";"en";"Is2or"
"467";"Sports & Hobbies///Hobbies///DIY";"en";"Is2or"
"468";"Sports & Hobbies///Hobbies///Fishing";"en";"Is2or"
"469";"Sports & Hobbies///Sports///Supplements & Nutritions";"en";"Is2or"
"470";"Sports & Hobbies///Toys///Plushies";"en";"Is2or"
"471";"Sports & Hobbies///Toys///Learning Sets";"en";"Is2or"
"472";"Sports & Hobbies///Toys///Remote Control Toys";"en";"Is2or"
"476";"Health & Beauty///Health///Food Supplements";"en";"Is2or"
"477";"Health & Beauty///Health///Diet meals";"en";"Is2or"
"478";"Health & Beauty///Beauty///Perfumes";"en";"Is2or"
"479";"Health & Beauty///Health///Pharmaceuticals";"en";"Is2or"
"480";"Health & Beauty///Beauty///Hair Care";"en";"Is2or"
"481";"Health & Beauty///Beauty///Personal Grooming";"en";"Is2or"
"482";"Health & Beauty///Beauty///Make up";"en";"Is2or"
"483";"Health & Beauty///Health///Medical Supplies";"en";"Is2or"
"498";"Plants & Flowers///Gardening Supplies///Tools & Equipments";"en";"Is2or"
"507";"Fresh & Local///Homemade Meals///Main Dish";"en";"Is2or"
"508";"Fresh & Local///Homemade Meals///Classic Sweets";"en";"Is2or"
"509";"Fresh & Local///Fruits From Farms///Dates";"en";"Is2or"
"510";"Fresh & Local///Fruits From Farms///Honey";"en";"Is2or"
"511";"Fresh & Local///Fruits From Farms///Ghee";"en";"Is2or"
"512";"Fresh & Local///Nuts & Spices///Mixed Nuts";"en";"Is2or"
"513";"Fresh & Local///Nuts & Spices///Spices";"en";"Is2or"
"516";"Supermarket///Bulk Purchase///Dairy";"en";"Is2or"
"517";"Supermarket///Bulk Purchase///Beverages";"en";"Is2or"
"518";"Supermarket///Bulk Purchase///Cleaning Products";"en";"Is2or"
"519";"Supermarket///Retail///Fruits & Vegetables";"en";"Is2or"
"520";"Supermarket///Retail///Cheese & Cold Cuts";"en";"Is2or"
"521";"Supermarket///Retail///Breakfast & Snacks";"en";"Is2or"
"522";"Supermarket///Retail///Packaged Products";"en";"Is2or"
"523";"Supermarket///Retail///Bakery";"en";"Is2or"
"524";"Supermarket///Retail///Dairy";"en";"Is2or"
"525";"Supermarket///Retail///Beverages";"en";"Is2or"
"526";"Supermarket///Retail///Cleaning Products";"en";"Is2or"
"527";"Supermarket///Retail///Household Products";"en";"Is2or"
"528";"Supermarket///Retail///Care And Hygiene";"en";"Is2or"
"529";"Supermarket///Retail///Clothing";"en";"Is2or"
"531";"Supermarket///Retail///Pet Products";"en";"Is2or"
"532";"Supermarket///Retail///Seasonal Products";"en";"Is2or"
"535";"Automotive & Travel///Vehicle Parts///Engine Parts";"en";"Is2or"
"536";"Automotive & Travel///Vehicle Parts///Brake Systems";"en";"Is2or"
"537";"Automotive & Travel///Vehicle Parts///Transmission Parts";"en";"Is2or"
"538";"Automotive & Travel///Vehicle Parts///Electrical Parts";"en";"Is2or"
"539";"Automotive & Travel///Vehicle Parts///Filters & Fluids";"en";"Is2or"
"540";"Automotive & Travel///Vehicle Parts///Body Parts";"en";"Is2or"
"541";"Automotive & Travel///Auto Accessories///Care Products";"en";"Is2or"
"542";"Automotive & Travel///Auto Accessories///Tools & Equipment";"en";"Is2or"
"543";"Automotive & Travel///Auto Accessories///Car Electronics";"en";"Is2or"
"544";"Automotive & Travel///Auto Accessories///Interior Accessories";"en";"Is2or"
"545";"Automotive & Travel///Auto Accessories///Exterior Accessories";"en";"Is2or"
"546";"Automotive & Travel///Auto Accessories///Maintenance Items";"en";"Is2or"
"547";"Electronics & Digital///E-Books, Software, Digital Products///E-Learning";"en";"Is2or"
"549";"Fresh & Local///Fruits From Farms///Fruits";"en";"Is2or"
"894";"Plants & Flowers///Fresh Flowers///Bouquets";"en";"Is2or"
"895";"Plants & Flowers///Fresh Flowers///Single Stems";"en";"Is2or"
"896";"Plants & Flowers///Fresh Flowers///Flower Arrangements";"en";"Is2or"
"898";"Plants & Flowers///Potted Plants///Indoor Plants";"en";"Is2or"
"900";"Plants & Flowers///Potted Plants///Outdoor Plants";"en";"Is2or"
"901";"Plants & Flowers///Potted Plants///Succulents & Cacti";"en";"Is2or"
"904";"Plants & Flowers///Gardening Supplies///Soils & Fertilizers";"en";"Is2or"
"905";"Plants & Flowers///Gardening Supplies///Pots & Planters";"en";"Is2or"
"962";"Health & Beauty///Beauty///Facial Care";"en";"Is2or"
"963";"Health & Beauty///Beauty///Body Care";"en";"Is2or"
"964";"Health & Beauty///Health///Medical Tools";"en";"Is2or"
"965";"Electronics & Digital///Laptop, Computer, Accessories///Computer Accessories";"en";"Is2or"
"966";"Electronics & Digital///Laptop, Computer, Accessories///Laptops";"en";"Is2or"
"967";"Electronics & Digital///Video Game, Gaming Console & Accessories///Games";"en";"Is2or"
"968";"Electronics & Digital///Mobile Phone, Tablet, Gadget Accessories///Accessories";"en";"Is2or"
"969";"Electronics & Digital///Mobile Phone, Tablet, Gadget Accessories///Cases";"en";"Is2or"
"970";"Electronics & Digital///Mobile Phone, Tablet, Gadget Accessories///Chargers";"en";"Is2or"
"971";"Electronics & Digital///Laptop, Computer, Accessories///Mouse & Keyboards";"en";"Is2or"
"972";"Electronics & Digital///Laptop, Computer, Accessories///Speakers";"en";"Is2or"
"974";"Fashion & Jewelry///Men///Men T-shirts";"en";"Is2or"
"975";"Fashion & Jewelry///Men///Men Trousers";"en";"Is2or"
"976";"Fashion & Jewelry///Men///Men Shorts";"en";"Is2or"
"977";"Fashion & Jewelry///Men///Socks";"en";"Is2or"
"978";"Fashion & Jewelry///Men///Sandals";"en";"Is2or"
"979";"Fashion & Jewelry///Men///Men Kaftan";"en";"Is2or"
"980";"Fashion & Jewelry///Men///Glasses";"en";"Is2or"
"981";"Fashion & Jewelry///Women///Women T-shirts";"en";"Is2or"
"982";"Fashion & Jewelry///Women///Skirt";"en";"Is2or"
"983";"Fashion & Jewelry///Women///Women Short Pants";"en";"Is2or"
"984";"Fashion & Jewelry///Women///Women Long Pants";"en";"Is2or"
"985";"Fashion & Jewelry///Women///Women Jeans";"en";"Is2or"
"986";"Fashion & Jewelry///Women///Women Sleepwear";"en";"Is2or"
"987";"Fashion & Jewelry///Women///Women Underwear";"en";"Is2or"
"988";"Fashion & Jewelry///Men///Bags";"en";"Is2or"
"989";"Fashion & Jewelry///Men///Men Underwear";"en";"Is2or"
"990";"Fashion & Jewelry///Women///Abaya";"en";"Is2or"
"991";"Fashion & Jewelry///Women///Hijab";"en";"Is2or"
"992";"Fashion & Jewelry///Women///Women Kaftan";"en";"Is2or"
"993";"Fashion & Jewelry///Women///Dresses";"en";"Is2or"
"994";"Fashion & Jewelry///Women///Heels";"en";"Is2or"
"995";"Fashion & Jewelry///Women///Women Sandals";"en";"Is2or"
"996";"Fashion & Jewelry///Women///Glasses";"en";"Is2or"
"997";"Fashion & Jewelry///Kids///T-shirts";"en";"Is2or"
"998";"Fashion & Jewelry///Kids///Short Pants";"en";"Is2or"
"999";"Fashion & Jewelry///Kids///Long Pants";"en";"Is2or"
"1000";"Fashion & Jewelry///Kids///Sandals";"en";"Is2or"
"1001";"Fashion & Jewelry///Kids///Socks";"en";"Is2or"
"1003";"Fashion & Jewelry///Kids///Backpack";"en";"Is2or"
"1004";"Fashion & Jewelry///Kids///Underwear";"en";"Is2or"
"1006";"Sports & Hobbies///Hobbies///Figurines";"en";"Is2or"
"1007";"Sports & Hobbies///Hobbies///Collectibles";"en";"Is2or"
"1008";"Sports & Hobbies///Pets///Food";"en";"Is2or"
"1009";"Sports & Hobbies///Pets///Treats";"en";"Is2or"
"1010";"Sports & Hobbies///Pets///Toys";"en";"Is2or"
"1011";"Sports & Hobbies///Pets///Pet Care";"en";"Is2or"
"1012";"Sports & Hobbies///Pets///Pet Accessories";"en";"Is2or"
"1022";"Home & Living///Home Textiles///Curtains & Blinds";"en";"Is2or"
"1023";"Home & Living///Home Textiles///Rugs & Mats";"en";"Is2or"
"1024";"Home & Living///Home Textiles///Table Linens";"en";"Is2or"
"1025";"Home & Living///Home Textiles///Cushion Covers";"en";"Is2or"
"1026";"Home & Living///Home Textiles///Sofa Covers";"en";"Is2or"
"1027";"Home & Living///Outdoor Living///Outdoor Decorations";"en";"Is2or"
